Order_all,Family_all,Genus_all,Species_all,subspecies,species_geonet,sex_or_flower_type,breeding_system,autonomous_selfing_level (none/low/medium/high),compatibility,compatibility_genus,info_level,asexual_reproduction,asexual_reproduction_type,agamospermy/apomixis (yes/no/some_populations),parasitic (yes/no),flower_colour ,flower_morphology,flower_pollinator_morphology,flower_symmetry,corolla_diameter_mean_mm,corolla_diameter_min_mm,corolla_diameter_max_mm,corolla_length_mean_mm,corolla_length_min_mm,corolla_length_max_mm,tube_length_mm,life_form,lifespan,plant_height_min_m,plant_height_max_m,plant_height_mean_m,references,reference_journal,doi,doi,doi,doi,doi,type_of_proxy_seed _or_fruit,open_pollination_percentage,open_pollination_n,hand_poll_outcrossing_percentage,hand_poll_outcrossing_percentage_n,hand_poll_self_percentage,hand_poll_self_n,spontaneus_selfing_percentage,spontaneus_selfing_n,geitonogamy_percentage,geitonogamy_n,apomixis_percentage,apomixis_n,intramorph_percentage,intramorph_n,stamen_length_mm,stamen_length_min_mm,stamen_length_max_mm,style_length_mm,style_length_min_mm,style_length_max_mm,ovary_length_mm,ovary_min_mm,ovary_max_mm,stigma_length_mm,stigma_min_mm,stigma_max_mm,pistil_length_mm,pistil_min_mm,pistil_max_mm,inflorescence_form,inflorescence_arrangement,inflorescence_length_mm,inflorescence_width_mm,inflorescence_comment,pollen_anther_mean,pollen_anther_sd,pollen_anther_n,pollen_flower_mean,pollen_flower_min,pollen_flower_max,pollen_flower_sd,pollen_flower_n,pollen_ovule_ratio,pollen_ovule_ratio_sd,ovules_mean,ovules_sd,ovules_n,stamen_mean,anthers_exerted_yes_or_no,anthers_exerted_mm,pistil_mean,stigma_mean,stigma_exerted_yes_or_no,stigma_exerted_mm,flowers_inflorescences_min,flowers_inflorescences_max,flowers_inflorescences_mean,inflorescences_plant_min,inflorescences_plant_max,inflorescences_plant_mean,flower_plant_min,flower_plant_max,flower_plant_mean,flower_lifespan_days,flowering_time_days,nectar_yes_or_no,nectar_ul_day_mean,nectar_ul_day_sd,nectar_ul_day_n,total_nectar_ul_mean,total_nectar_ul_sd,total_nectar_ul_n,sugar_nectar_mg_mean,sugar_nectar_mg_sd,sugar_nectar_mg_n,sugar_concentration_mean,sugar_concentration_sd,sugar_concentration_n,fruit_type,fruit_colour,fruit_length_mm,fruit_width_mm,pollen_polar_length_um_mean,pollen_polar_length_um_min,pollen_polar_length_um_max,pollen_equatorial_length_mean_um ,pollen_equatorial_length_min_um,pollen_equatorial_length_max_um,pollen_polar_equatorial,mean_pollen_tube_growth_um_min,chromosome number,ploidy,location,country,references,reference_journal,doi,doi,doi,doi,doi,
Ericales,Ericaceae,Rhododendron,Rhododendronÿkiusianum,,Rhododendron kiusuanum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ericales,Ericaceae,Rhododendron,Rhododendron kaempferi,NA,Rhododendron kaempferi,bisexual,hermaphrodite,NA,partially_self_incompatible,NA,flower,NA,NA,NA,,red,campanulate,campanulate,actinomorphic,25,NA,NA,25,20,30,12.5,shrub,perennial,NA,3,1.5,barrett & lloyd 1996; NA,book: floral biology: studies on floral evolution in animal-pollinated plants; online: https://www.rosebay.org,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ericales,Ericaceae,Rhododendron,Rhododendron degronianum,,Rhododendron degronianum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saxifragales,Crassulaceae,Rhodiola,Rhodiolaÿrhodantha,,Clementsia rhodantha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiales,Orobanchaceae,Rhinanthus,Rhinanthus glacialis,,Rhinanthus glacialis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiales,Verbenaceae,Rhaphithamnus,Rhaphithamnus spinosus,,Rhaphithamnus spinosus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apiales,Rosaceae,Rhaphiolepis,Rhaphiolepis indica,NA,Rhaphiolepis indica,bisexual,hermaphrodite,NA,NA,NA,flower,NA,NA,NA,,white,bowl,bowl,actinomorphic,12.5,10,15,6,NA,NA,NA,shrub,perennial,NA,4,2,kalkman 1973; chen & wang 2001,journal: blumea; journal: taiwania,NA,NA,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paniculate cyme,terminal,130,20,NA,,,,,,,,,,,6,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,6,6,34.5,27.5,41.5,33.5,26.5,40.5,1.029,,,,,,kalkman 1973; chen & wang 2001,blumea; taiwania,NA,NA,,,,
Lamiales,Lamiaceae,Rhaphiodon,Rhaphiodon echinus,,Rhaphiodon echinus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosales,Rhamnaceae,Rhamnus,Rhamnus lanceolata,NA,Rhamnus lanceolata,bisexual,hermaphrodite,NA,NA,NA,flower,NA,NA,NA,,greenish_white,disk,disk,actinomorphic,1.3,NA,NA,3,NA,NA,NA,shrub,perennial,NA,5,2.5,mohlenbrock 2010; NA,book: nelumbonaceae to vitaceae: water lotuses to grapes; online: http://www.missouriplants.com,ISBN: 0809332299,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosales,Rhamnaceae,Rhamnus,Rhamnus glandulosa,,Rhamnus glandulosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosales,Rhamnaceae,Rhamnella,Rhamnella franguloides,NA,Rhamnella franguloides,bisexual,hermaphrodite,NA,NA,NA,flower,NA,NA,NA,,greenish white,disk,disk,actinomorphic,5,NA,NA,5,NA,NA,NA,shrub,perennial,2,9,5.5,NA,online: efloras.org,NA,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cyme,axilar,NA,NA,NA,,,,,,,,,,,,,,,no,0,1,1,no,0,6,18,12,,,,,,,,,,,,,,,,,,,,,,drupe,black,8,3.75,,,,,,,,,,,,,NA,online: efloras.org,NA,,,,,
Lamiales,Lamiaceae,Rhabdocaulon,Rhabdocaulon stenodontum,,Rhabdocaulon stenodontum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gentianales,Apocynaceae,Rhabdadenia,Rhabdadenia madida,,Rhabdadenia madida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gentianales,Apocynaceae,Rhabdadenia,Rhabdadenia biflora,,Rhabdadenia biflora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabales,Polygalaceae,Reynoutria,Reynoutria japonica,NA,Reynoutria japonica,separated,dioecious,none,dioecious,NA,flower,yes,NA,NA,,white,bowl,bowl,actinomorphic,2.5,2,3,1,NA,NA,NA,herb,perennial,1,3,2,"beerling, bailey & conolly 1994; NA",journal: journal of ecology; online: http://www.luontoportti.com,https://doi.org/10.2307/2261459ÿ,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.71,0.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,raceme,axilar,100,10,NA,NA,NA,NA,NA,,,NA,NA,NA,,1,NA,NA,8,yes,NA,3,3,yes,NA,3,6,5,NA,NA,NA,NA,NA,NA,NA,30,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,achene,brown,3,2,NA,NA,NA,NA,NA,NA,NA,NA,2n=44,NA,NA,NA,"beerling, bailey & conolly 1994; NA",journal of ecology; online: http://www.luontoportti.com,https://doi.org/10.2307/2261459ÿ,NA,,,,
Brassicales,Resedaceae,Reseda,Reseda luteola,,Reseda luteola,REPEATED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brassicales,Resedaceae,Reseda,Resedaÿluteola,,Reseada luteola,REPEATED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brassicales,Resedaceae,Reseda,Reseda alba,NA,Reseda alba,bisexual,hermaphrodite,NA,NA,NA,flower,NA,NA,NA,no,white,bowl,bowl,actinomorphic,11,NA,NA,6,NA,NA,NA,herb,annual_to_perennial,0.3,1.2,0.75,NA; NA; NA,online: http://www.maltawildplants.com; online: http://ucjeps.berkeley.edu; online: https://www.tela-botanica.org,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gentianales,Rubiaceae,Remijia,Remijiaÿdensiflora,,Remijia densiflora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Reichardia,Reichardia picroides,,Reichardia picroides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gentianales,Apocynaceae,Rauvolfia,Rauvolfia weddelliana,,Rauvolfia weddelliana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gentianales,Apocynaceae,Rauvolfia,Rauvolfia ligustrina,,Rauvolfia ligustrina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Ratibida,Ratibida pinnata,NA,Lepachys pinnata,bisexual,hermaphrodite,NA,NA,self-incompatible,capitulum,yes,rhizomes,NA,,yellow,disk,disk,actinomorphic,21.5,18,25,10,NA,NA,NA,herb,perennial,0.4,1.25,0.8,Go Botany New England; Illinois Wildflowers,,Go Botany; https://plants.jstor.org/compilation/rudbeckia.pinnata,http://illinoiswildflowers.info/prairie/plantx/yl_coneflowerx.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Ratibida,Ratibida pinnata,NA,Lepachys pinnata,bisexual,hermaphrodite,NA,NA,self-incompatible,disc_floret,yes,rhizomes,NA,,blue to purple,tube,tube,actinomorphic,3.1,2.5,3.8,3.1,2.5,3.8,3,herb,perennial,0.4,1.25,0.8,Go Botany New England; Illinois Wildflowers,,Go Botany; https://plants.jstor.org/compilation/rudbeckia.pinnata,http://illinoiswildflowers.info/prairie/plantx/yl_coneflowerx.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Ratibida,Ratibida pinnata,NA,Lepachys pinnata,bisexual,hermaphrodite,NA,NA,self-incompatible,ray_floret,yes,rhizomes,NA,,yellow,exposed,exposed,zygomorphic,8.5,5,12,35,20,50,NA,herb,perennial,0.4,1.25,0.8,Go Botany New England; Illinois Wildflowers,,Go Botany; https://plants.jstor.org/compilation/rudbeckia.pinnata,http://illinoiswildflowers.info/prairie/plantx/yl_coneflowerx.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brassicales,Brassicaceae,Rapistrum,Rapistrum rugosum,,Rapistrum rugosum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brassicales,Brassicaceae,Raphanus,Raphanus raphanistrum,,Raphanus raphanistrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Raoulia,Raoulia subsericea,,Raoulia subsericea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Raouliaÿ,Raouliaÿmammillaris,,Raoulia mammilaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Raoulia,Raoulia grandiflora,,Raoulia grandiflora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Raouliaÿ,Raouliaÿaustralis,,Raoulia lutescens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ranunculales,Ranunculaceae,Ranunculus,Ranunculusÿzhungdianensis,,Ranunculus zhungdianensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ranunculales,Ranunculaceae,Ranunculus,Ranunculus sulphureus,NA,Ranumculus sulphureus,bisexual,hermaphrodite,NA,NA,NA,flower,NA,NA,NA,,yellow,bowl,bowl,actinomorphic,17.5,NA,NA,4,NA,NA,NA,herb,perennial,0.02,0.2,0.115,NA; NA,online: https://nature.ca (picture); http://svalbardflora.no (picture),NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ranunculales,Ranunculaceae,Ranunculus,Ranunculus sulphureus,,Ranunculus sulphureus,bisexual,hermaphrodite,NA,NA,NA,flower,NA,NA,NA,,yellow,bowl,bowl,actinomorphic,17.5,NA,NA,4,NA,NA,NA,herb,perennial,0.02,0.2,0.115,NA; NA,online: https://nature.ca (picture); http://svalbardflora.no (picture),NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ranunculales,Ranunculaceae,Ranunculus,Ranunculus spruneranus,NA,Ranunculus spruneranus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ranunculales,Ranunculaceae,Ranunculus,Ranunculus silerifolius,NA,Ranunculus silerifolius,bisexual,hermaphrodite,NA,self_compatible,NA,flower,NA,NA,NA,,yellow,disk,disk,actinomorphic,9,NA,NA,2,NA,NA,NA,herb,perennial,0.28,0.95,0.6,okada & kubo 1999; NA,journal: acta phytotaxa geobotanica; online: efloras.org,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ranunculales,Ranunculaceae,Ranunculus,Ranunculus sieboldii,NA,Ranunculus sieboldii,bisexual,hermaphrodite,NA,NA,NA,flower,NA,NA,NA,,yellow,bowl,bowl,actinomorphic,11,9,13,3,NA,NA,NA,herb,perennial,0.15,0.35,0.25,"kuo, alec & wang 2005",journal: taiwania international journal of life sciences,10.6165/tai.2005.50(3).209,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,solitary,,11,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n=16,haploid,,,"kuo, alec & wang 2005",taiwania international journal of life sciences,10.6165/tai.2005.50(3).209,,,,,
Ranunculales,Ranunculaceae,Ranunculus,Ranunculus septentrionalis,NA,Ranunculus septentrionalis,bisexual,hermaphrodite,NA,NA,NA,flower,NA,NA,NA,,yellow,disk,disk,actinomorphic,20,NA,NA,2.5,NA,NA,NA,herb,perennial,NA,0.15,0.075,NA,online: http://www.illinoiswildflowers.info,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ranunculales,Ranunculaceae,Ranunculus,Ranunculus repens,,Ranunculus repens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ranunculales,Ranunculaceae,Ranunculus,Ranunculus recurvatus,NA,Ranunculus recurvatus,bisexual,hermaphrodite,NA,NA,self_incompatible,flower,yes,rhizomes,NA,,yellowish,disk,NA,actinomorphic,7.6,NA,NA,NA,NA,NA,NA,herb,perennial,0.2,0.6,0.4,"Lundqvist, 2008",Hereditas,https://doi.org/10.1111/j.1601-5223.1990.tb00695.xÿ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ranunculales,Ranunculaceae,Ranunculus,Ranunculus peduncularis,,Ranunculus peduncularis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ranunculales,Ranunculaceae,Ranunculus,Ranunculus occidentalis,,Ranunculus occidentalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ranunculales,Ranunculaceae,Ranunculus,Ranunculus montanus,,Ranunculus montanus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ranunculales,Ranunculaceae,Ranunculusÿ,Ranunculusÿlyallii,,Ranunculus lyalii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ranunculales,Ranunculaceae,Ranunculus,Ranunculus japonicus,,Ranunculus japonicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ranunculales,Ranunculaceae,Ranunculus,Ranunculus flammula,NA,Ranunculus flammula,bisexual,hermaphrodite,none,self_incompatible,NA,flower,yes,stolons and rhizomes,no,no,yellow,disk,disk,actinomorphic,13,8,18,4,NA,NA,NA,herb,perennial,0.1,0.5,0.3,NA; cook & johnson 1968; NA,online: http://www.luontoportti.com; journal: evolution; online: https://www.utas.edu.au,NA,ÿhttps://doi.org/10.1111/j.1558-5646.1968.tb03988.xÿ,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ranunculales,Ranunculaceae,Ranunculus,Ranunculus fascicularis,NA,Ranunculus fascicularis,bisexual,hermaphrodite,NA,NA ,NA,flower,NA,NA,NA,,yellow,disk,disk,actinomorphic,13,NA,NA,3,NA,NA,NA,herb,perennial,0.1,0.3,0.2,NA,online: https://www.minnesotawildflowers.info,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ranunculales,Ranunculaceae,Ranunculus,Ranunculus enysii,,Ranunculus enysii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ranunculales,Ranunculaceae,Ranunculus,Ranunculusÿcortusifolius,,Ranunculus cortusaefolius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ranunculales,Ranunculaceae,Ranunculus,Ranunculus alpestris,,Ranunculus alpestris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ranunculales,Ranunculaceae,Ranunculus,Ranunculusÿacris,NA,Ranunculus acris,bisexual,hermaphrodite,none,self_incompatible,NA,flower,yes,rhizomes,yes,no,yellow,bowl,bowl,actinomorphic,18.5,12,25,9.25,NA,NA,NA,herb,perennial,0.15,1,0.575,"odat, jetschke & hellwig 2004; lamoureaux & bourdot 2007; NA; totland 1994",journal: molecular ecology; journal: weed research; online: http://www.luontoportti.com; journal: ecography,https://doi.org/10.1111/j.1365-294X.2004.02115.x,https://doi.org/10.1111/j.1365-3180.2007.00588.x,NA,ÿhttps://doi.org/10.1111/j.1600-0587.1994.tb00089.xÿ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ranunculales,Ranunculaceae,Ranunculus,Ranunculusÿabortivus,NA,Ranunculus abortivus,bisexual,hermaphrodite,NA,NA,NA,flower,NA,NA,NA,,white,disk,disk,actinomorphic,8.25,NA,NA,3,NA,NA,NA,herb,biennial_short_lived_perennial,NA,0.5,,NA,online: http://www.missouriplants.com,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brassicales,Brassicaceae,Radicula,Radiculaÿpalustris,NA,Radicula palustris,bisexual,hermaphrodite,high,self_compatible,NA,flower,NA,NA,NA,no,yellow,disk,disk,actinomorphic,3,2,4,0.6,NA,NA,NA,herb,annual_short_lived_perennial,0.05,1.1,0.575,jonsell no_date; mohlenbrock no_date; mason no_date; goodfrey & wooten no_date,book: flora nordica; book: acanthaceae to myricaceae: water willows to wax myrtles; book: a flora of the marshes of california; book: aquatic and wetland plants f southeastern united states: dicotyledons,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,1,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
