Species_geonet,Unique_id,Locality,Latitude,Longitude,Order_all,Family_all,Genus_all,Species_all,Subspecies,Sex_or_flower_type,Breeding_system,Autonomous_selfing_level,Autonomous_selfing_level_data_type,Autonomous_selfing_level_fruit_set,Autonomous_selfing_level_seed_set,autonomous_selfing_sample_size,Compatibility,Self_compatible_author,Self_compatible_reference,Self_compatible_doi,Compatibility_genus,Info_level,Asexual_reproduction,Asexual_reproduction_type,Agamospermy/apomixis (yes/no/some_populations),Flower_colour,Flower_morphology,Flower_symmetry,Corolla_diameter_mean,Corolla_diameter_min,Corolla_diameter_max,Corolla_length_mean,Corolla_length_min,Corolla_length_max,Tube_length,style_length_mm,style_length_min_mm,style_length_max_mm,style_length_max_sd,style_length_max_N,ovules_mean,ovules_min,ovules max,ovules_sd,ovules_n,life_form,lifespan,plant_height_min_m,plant_height_max_m,plant_height_mean_m,References,Reference_info,DOI,doi__1,doi__2,doi__3,doi__4,type_of_proxy_seed _or_fruit,open_pollination_percentage,open_pollination_n,hand_poll_outcrossing_percentage,hand_poll_outcrossing_percentage_n,hand_poll_self_percentage,hand_poll_self_n,spontaneus_selfing_percentage,spontaneus_selfing_n,geitonogamy_percentage,geitonogamy_n,apomixis_percentage,apomixis_n,intramorph_percentage,intramorph_n,stamen_length_mm,stamen_length_min_mm,stamen_length_max_mm,style_length_mm,style_length_min_mm,style_length_max_mm,style_length_max_sd,style_length_max_N,ovary_length_mm,ovary_min_mm,ovary_max_mm,stigma_length_mm,stigma_min_mm,stigma_max_mm,pistil_length_mm,pistil_min_mm,pistil_max_mm,inflorescence_form,inflorescence_arrangement,inflorescence_length_mm,inflorescence_width_mean_mm,inflorescence_width_min_mm,inflorescence_width_max_mm,inflorescence_comment,pollen_anther_mean,pollen_anther_min,pollen_anther_max,pollen_anther_sd,pollen_anther_n,pollen_flower_mean,pollen_flower_min,pollen_flower_max,pollen_flower_sd,pollen_flower_n,pollen_ovule_ratio,pollen_ovule_ratio_sd,ovules_mean,ovules_min,ovules max,ovules_sd,ovules_n,stamen_mean,stamen_min,stamen_max,anthers_exerted_yes_or_no,anthers_exerted_mm,pistil_mean,stigma_mean,stigma_exerted_yes_or_no,stigma_exerted_mm,flowers_inflorescences_min,flowers_inflorescences_max,flowers_inflorescences_mean,inflorescences_plant_min,inflorescences_plant_max,inflorescences_plant_mean,flower_plant_min,flower_plant_max,flower_plant_mean,flower_lifespan_days,flowering_time_days,nectar_yes_or_no,nectar_ul_day_mean,nectar_ul_day_sd,nectar_ul_day_n,total_nectar_ul_mean,total_nectar_ul_sd,total_nectar_ul_n,sugar_nectar_mg_mean,sugar_nectar_mg_sd,sugar_nectar_mg_n,sugar_concentration_mean,sugar_concentration_sd,sugar_concentration_n,fruit_type,fruit_colour,fruit_length_mm,fruit_width_mm,pollen_polar_length_um_mean,pollen_polar_length_um_min,pollen_polar_length_um_max,pollen_equatorial_length_mean_um,pollen_equatorial_length_min_um,pollen_equatorial_length_max_um,pollen_polar_equatorial,mean_pollen_tube_growth_um_min,chromosome number,ploidy,location,country,references__1,reference_journal__1,doi__5,doi__6,doi__7,doi__8,doi__9
Aconitum piepunense,fang_huang_2009.csv,China,27.90139,99.63806,Ranunculales,Ranunculaceae,Aconitum,Aconitum piepunense,NA,bisexual,hermaphrodite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flower,NA,NA,NA,blue,bowl,zygomorphic,13,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,58,NA,NA,NA,NA,herb,perennial,NA,NA,NA,"gao et al., 2015; NA","journal: journal of plant ecology *ovules, pollen*; online: http://worldfloraonline.org",10.1093/jpe/rtv011,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143865,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,8.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Androsace spinulifera,fang_huang_2009.csv,China,27.90139,99.63806,Ericales,Primulaceae,Androsace,Androsace spinulifera,NA,bisexual,hermaphrodite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flower,NA,NA,NA,pink,tube,actinomorphic,9,8,10,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,herb,perennial,0.12,0.3,0.21,NA,online: http://www.efloras.org/,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anemone demissa,fang_huang_2009.csv,China,27.90139,99.63806,Ranunculales,Ranunculaceae,Anemone,Anemone demissa,NA,bisexual,hermaphrodite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flower,NA,NA,NA,white,disk,actinomorphic,52,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,herb,perennial,0.07,0.6,0.335,NA; NA,online: http://www.efloras.org/; online: https://plants.jstor.org/,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anemone rupestris,fang_huang_2009.csv,China,27.90139,99.63806,Ranunculales,Ranunculaceae,Anemone,Anemone rupestris,NA,bisexual,hermaphrodite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flower,NA,NA,NA,white,disk,actinomorphic,25,NA,NA,8,NA,NA,NA,3.05,2.8,3.3,NA,NA,NA,NA,NA,NA,NA,herb,perennial,NA,NA,NA,NA,online: http://www.efloras.org/,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calystegia hederacea,fang_huang_2009.csv,China,27.90139,99.63806,Solanales,Convolvulaceae,Calystegia hederacea,Calystegia hederacea,NA,bisexual,hermaphrodite,none,quantitative,0,0,31,self_incompatible,ushimaru & kikuzawa 1999,journal: american journal of botany,https://doi.org/10.2307/2656764,NA,flower,yes,rhizomes,no,pink,campanulate,actinomorphic,28.5,22,35,38.5,35,42,NA,9.5,9,10,NA,NA,4,NA,NA,NA,NA,vine,perennial,0.1,0.5,0.3,ballelli 2013; ushimaru & kikuzawa 1999,journal: journal of plant taxonomy and geography; journal: american journal of botany,https://doi.org/10.1080/00837792.2013.807543,https://doi.org/10.2307/2656764,,,,,68,31,83,47,0,21,0,31,0,23,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cerastium glomeratum,fang_huang_2009.csv,China,27.90139,99.63806,Caryophyllales,Caryophyllaceae,Cerastium,Cerastium glomeratum,NA,bisexual,hermaphrodite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flower,NA,NA,NA,white,bowl,actinomorphic,7,NA,NA,4,NA,NA,NA,0.65,0.5,0.8,NA,NA,NA,NA,NA,NA,NA,herb,annual,0.03,0.4,0.215,NA; NA,online: http://ucjeps.berkeley.edu/; online: http://www.efloras.org/,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinopodium megalanthum,fang_huang_2009.csv,China,27.90139,99.63806,Lamiales,Lamiaceae,Clinopodium,Clinopodium megalanthum,NA,bisexual,hermaphrodite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flower,yes,rhizomes,NA,purple,tube,zygomorphic,12,NA,NA,17.5,15,20,13,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,herb,perennial,0.1,0.6,0.35,NA; NA,online: http://flora.huh.harvard.edu/; ONLINE: http://www.kun.ac.cn/ *picture*,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Draba yunnanensis,fang_huang_2009.csv,China,27.90139,99.63806,Brassicales,Brassicaceae,Draba,Draba yunnanensis,NA,bisexual,hermaphrodite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flower,NA,NA,NA,yellow,tube,actinomorphic,12,NA,NA,9,NA,NA,9,NA,NA,NA,NA,NA,8,4,12,NA,NA,herb,perennial,0.05,0.6,0.325,NA,online: http://www.efloras.org/,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elsholtzia densa,fang_huang_2009.csv,China,27.90139,99.63806,Lamiales,Lamiaceae,Elsholtzia densa,Elsholtzia densa,NA,bisexual,hermaphrodite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flower,NA,NA,NA,purple,tube,zygomorphic,2,NA,NA,2.5,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,herb,annual,0.2,0.6,0.4,NA; NA,online: http://www.efloras.org/; online: https://sites.google.com/,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geranium sibiricum,fang_huang_2009.csv,China,27.90139,99.63806,Geraniales,Geraniaceae,Geranium,Geranium sibiricum,NA,bisexual,hermaphrodite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flower,NA,NA,NA,purple,bowl,actinomorphic,12.5,10,15,6.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,herb,perennial,0.2,0.5,0.35,NA,online: http://www.luontoportti.com/,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heracleum candicans,fang_huang_2009.csv,China,27.90139,99.63806,Apiales,Apiaceae,Heracleum,Heracleum candicans,NA,bisexual,hermaphrodite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flower,NA,NA,NA,white,disk,actinomorphic,12,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,herb,perennial,0.4,2,1.7,NA,online: http://www.efloras.org/,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incarvillea zhongdianensis,fang_huang_2009.csv,China,27.90139,99.63806,Lamiales,Bignoniaceae,Incarvillea,Incarvillea zhongdianensis,NA,bisexual,hermaphrodite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flower,NA,NA,NA,pink,tube,actinomorphic,30,NA,NA,55,NA,NA,47.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,herb,perennial,0.15,0.6,0.325,NA,online: http://www.fpcn.net/,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iris ruthenica,fang_huang_2009.csv,China,27.90139,99.63806,Asparagales,Iridaceae,Iris,Iris ruthenica,NA,bisexual,hermaphrodite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flower,NA,NA,NA,purple,bowl,actinomorphic,42.5,30,55,17,NA,NA,NA,37.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,herb,perennial,0.02,0.2,0.11,NA,online: http://www.efloras.org/,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamium amplexicaule,fang_huang_2009.csv,China,27.90139,99.63806,Lamiales,Lamiaceae,Lamium,Lamium amplexicaule,NA,bisexual,hermaphrodite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flower,NA,NA,NA,pink,tube,zygomorphic,4.5,NA,NA,17.5,15,20,13,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,herb,annual,1,0.3,0.2,NA; lord 1980,online: http://www.luontoportti.com/; american journal of botany,NA, https://doi.org/10.2307/2442292 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leontopodium andersonii,fang_huang_2009.csv,China,27.90139,99.63806,Asterales,Asteraceae,Leontopodium,Leontopodium andersonii,NA,bisexual,hermaphrodite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,capitulum,NA,NA,NA,yellow,capitulum,actinomorphic,3.5,3,4,2.75,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,herb,perennial,0.05,0.3,0.175,NA,online: http://www.efloras.org/,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morina nepalensis,fang_huang_2009.csv,China,27.90139,99.63806,Dipsacales,Caprifoliaceae,Morina,Morina nepalensis,NA,bisexual,hermaphrodite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flower,NA,NA,NA,pink,tube,zygomorphic,12.5,NA,NA,22,NA,NA,17.5,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,herb,perennial,0.1,0.5,0.3,NA,online: http://flora.huh.harvard.edu/,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,umbel,terminal,15,15,,,NA,NA,,,NA,NA,NA,,,NA,NA,NA,,NA,,,NA,NA,NA,,,NA,NA,1,2,NA,NA,4,10,7,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,drupe,NA,9.5,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"choudhury, khan & dayanandan 2014; NA; gaangaprasad, muraleedharan & radhamany 2018",plos one; online: efloras.org; the international journal of plant reproductive biology,https://doi.org/10.1371/journal.pone.0087287,NA,10.14787/ijprb.2018 10.2.,,
Nepeta laevigata,fang_huang_2009.csv,China,27.90139,99.63806,Lamiales,Lamiaceae,Nepeta,Nepeta laevigata,NA,bisexual,hermaphrodite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flower,NA,NA,NA,purple,tube,zygomorphic,4,NA,NA,10,8,12,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,herb,perennial,0.3,0.85,0.575,"tauheeda & hassan., et al 2011; NA; NA",journal: iran journal of botany; online: https://www.flowersofindia.net/; ONLINE: http://www.efloras.org/,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedicularis longiflora,fang_huang_2009.csv,China,27.90139,99.63806,Lamiales,Orobanchaceae,Pedicularis,Pedicularis longiflora,NA,bisexual,hermaphrodite,low,quantitative,NA,0.06,30,self_compatible,"yan, sun & guo 2005",journal: botanical journal of the linnean society, https://doi.org/10.1111/j.1095-8339.2005.00363.x ,NA,flower,NA,NA,NA,yellow,tube,zygomorphic,20,NA,NA,65,50,80,,NA,NA,NA,NA,NA,30.6,NA,NA,2.8,30,herb,annual,0.1,0.18,0.14,"NA; yang, sun & guo 2005",online: http://www.efloras.org/; journal: botanical journal of the linnean society,NA, https://doi.org/10.1111/j.1095-8339.2005.00363.x ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedicularis monbeigiana,fang_huang_2009.csv,China,27.90139,99.63806,Lamiales,Orobanchaceae,Pedicularis,Pedicularis monbeigiana,NA,bisexual,hermaphrodite,none,quantitative,NA,0,12,self_compatible,"sun et al., 2005",journal: plant systematics and evolution,10.1007/s00606-005-0348-y,NA,flower,NA,NA,no,white,tube,zygomorphic,20,NA,NA,20,18,22,13,,NA,NA,NA,NA,7.83,NA,NA,NA,NA,herb,perennial,0.5,0.9,0.7,NA; yang & guo 2007,online: http://flora.huh.harvard.edu/; journal: journal of integrative plant biology,NA, https://doi.org/10.1111/j.1744-7909.2007.00398.x ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potentilla fruticosa,fang_huang_2009.csv,China,27.90139,99.63806,Rosales,Rosaceae,Dasiphora,Dasiphora fruticosa,NA,bisexual,hermaphrodite,low,qualitative,NA,NA,NA,partially self_incompatible,"wang et al., 2019",journal: plant diversity,https://doi.org/10.1016/j.pld.2019.06.002,NA,flower,NA,NA,no,yellow,disk,actinomorphic,20,10,30,2.5,NA,NA,NA,2,NA,NA,NA,NA,88.04,NA,NA,NA,NA,shrub,perennial,0.3,2,1.65,"NA; NA; wang et al., 2019",online: https://mpgnorth.com/; online: http://ucjeps.berkeley.edu/; journal: plant diversity,NA,NA,https://doi.org/10.1016/j.pld.2019.06.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ranunculus zhungdianensis,fang_huang_2009.csv,China,27.90139,99.63806,Ranunculales,Ranunculaceae,Ranunculus,Ranunculus zhungdianensis,NA,bisexual,hermaphrodite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flower,NA,NA,NA,yellow,disk,actinomorphic,7,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,herb,perennial,0.05,0.085,0.045,NA,online: http://flora.huh.harvard.edu/,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salvia flava,fang_huang_2009.csv,China,27.90139,99.63806,Lamiales,Lamiaceae,Salvia,Salvia flava,NA,bisexual,hermaphrodite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flower,NA,NA,NA,yellow,tube,zygomorphic,13.25,NA,NA,26.5,23,30,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,herb,perennial,0.2,0.5,0.35,NA,online: http://www.efloras.org/,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scutellaria hypericifolia,fang_huang_2009.csv,China,27.90139,99.63806,Lamiales,Lamiaceae,Scutellaria,Scutellaria hypericifolia,NA,bisexual,hermaphrodite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flower,NA,NA,NA,white,tube,zygomorphic,15,NA,NA,26.5,25,28,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,herb,perennial,0.1,0.3,0.2,NA,online: http://www.efloras.org/,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silene chungtienensis,fang_huang_2009.csv,China,27.90139,99.63806,Caryophyllales,Caryophyllaceae,Silene,Silene chungtienensis,NA,bisexual,hermaphrodite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flower,NA,NA,NA,red,tube,actinomorphic,23,NA,NA,19.5,NA,NA,19.5,NA,NA,NA,NA,NA,172,NA,NA,NA,NA,herb,perennial,0.15,0.6,0.375,"NA; gao et al., 2015",online: http://flora.huh.harvard.edu/; journal: journal of plant ecology,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stachys kouyangensis,fang_huang_2009.csv,China,27.90139,99.63806,Lamiales,Lamiaceae,Stachys,Stachys kouyangensis,NA,bisexual,hermaphrodite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flower,NA,NA,NA,purple,tube,zygomorphic,12,NA,NA,15,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,herb,perennial,NA,0.5,0.25,NA,online:http://flora.huh.harvard.edu/,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stellera chamaejasme,fang_huang_2009.csv,China,27.90139,99.63806,Malvales,Thymelaeaceae,Stellera,Stellera chamaejasme,NA,bisexual,hermaphrodite,none,quantitative,0,0,11,self_incompatible,"zhang, zhang & sun 2011",journal: flora,10.1016/j.flora.2011.01.008,NA,flower,yes,rhizomes,no,white,tube,actinomorphic,6,NA,NA,18,NA,NA,15,3,NA,NA,NA,NA,1,NA,NA,NA,8,herb,perennial,0.2,0.5,0.35,"zhang, zhang & sun 2011",journal: flora,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16205.8,,,2567,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taraxacum mongolicum,fang_huang_2009.csv,China,27.90139,99.63806,Asterales,Asteraceae,Taraxacum,Taraxacum mongolicum,NA,bisexual,hermaphrodite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,capitulum,yes,underground bud propagation,NA,yellow,capitulum,actinomorphic,32.5,30,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,herb,perennial,0.1,0.2,0.15,NA,book: identification and control of common weeds: volume 3,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trollius yunnanensis,fang_huang_2009.csv,China,27.90139,99.63806,Ranunculales,Ranunculaceae,Trollius,Trollius yunnanensis,NA,bisexual,hermaphrodite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flower,NA,NA,NA,yellow,disk,actinomorphic,24,NA,NA,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,herb,perennial,0.2,0.8,0.5,NA,online: http://www.efloras.org/,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vicia nummularia,fang_huang_2009.csv,China,27.90139,99.63806,Fabales,Fabaceae,Vicia,Vicia nummularia,NA,bisexual,hermaphrodite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flower,NA,NA,NA,yellow,tube,zygomorphic,3.5,NA,NA,9,NA,NA,9,NA,NA,NA,NA,NA,5,2,8,NA,NA,herb,perennial,0.15,1,0.575,NA,online: http://www.efloras.org/,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viola delavayi,fang_huang_2009.csv,China,27.90139,99.63806,Malpighiales,Violaceae,Viola,Viola delavayi,NA,bisexual,hermaphrodite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flower,NA,NA,NA,yellow,bowl,zygomorphic,22.5,15,30,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,herb,perennial,0.15,0.25,0.2,NA,online: http://www.efloras.org/,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allium macranthum,fang_huang_2010.csv,China,27.90139,99.63806,Asparagales,Amaryllidaceae,Allium,Allium macranthum,NA,bisexual,hermaphrodite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flower,NA,NA,NA,purple,bowl,actinomorphic,20,NA,NA,25,15,35,NA,NA,14,NA,NA,NA,8,NA,NA,NA,NA,herb,perennial,0.2,0.6,0.4,NA,online: http://www.efloras.org/,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delphinium delavayi,fang_huang_2010.csv,China,27.90139,99.63806,Ranunculales,Ranunculaceae,Delphinium,Delphinium delavayi,NA,bisexual,hermaphrodite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flower,NA,NA,NA,blue,tube,zygomorphic,27.5,NA,NA,50,NA,NA,16,NA,NA,NA,NA,NA,14,8,20,NA,NA,herb,perennial,0.55,1,0.775,NA; NA,online: http://www.efloras.org/; http://petype.myspecies.info/ *image*,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dracocephalum forrestii,fang_huang_2010.csv,China,27.90139,99.63806,Lamiales,Lamiaceae,Dracocephalum,Dracocephalum forrestii,NA,bisexual,hermaphrodite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flower,NA,NA,NA,purple,tube,zygomorphic,12.5,NA,NA,26.5,25,28,20,26.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,herb,perennial,0.13,0.28,0.205,NA,online: http://www.efloras.org/,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
