,Agauria salicifolia,Antidesma madagascariense,Antirhea borbonica,Aphloia theiformis,Badula insularis,Badula platiphylla,Bakerella hoyifolia,Bertiera zaluzania ,Calophyllum eputamen,Casearia coriacea,Chassalia coriacea,Chassalia petrinensis,Claoxylon linostachys,Coffea macrocarpa,Coffea mauritiana,Colea colei,Cordemoya integrifolia,Croton fothergillifolius,Diospyros revaughanii,Dodonaea viscosa ,Doratoxylon apetalum,Dracaena reflexa,Embelia angustifolia,Erythrospermum monticolum,Erythroxylum macrocarpum,Eugenia orbiculata,Euodia chapelieri,Euodia obtusifolia,Euodia obtusifolia,Faujasiopsis flexuosa,Flagellaria indica,Gaertnera petrinensis,Gaertnera psychotrioides,Gaertnera rotundifolia,Geniostoma borbonicum,Grangeria borbonica,Helichrysum proteoides,Labourdonnaisia callophylloides,Memecylon ovatifolium,Mimusops erythroxylon,Molinaea alternifolia,Monimiastrum globosum,Ochna mauritiana,Ocotea laevigata,Olea lancea,Pandanus barklyi,Pandanus rigidifolius,Pandanus wiehii,Phyllanthus phillyreifolius,Pittosporum senacia,Pleurostylia leucocarpa ,Polyscias mauritiana,Psiadia terebinthina,Pyrostria fasciculata,Roussea simplex ,Sideroxylon cinereum,Sideroxylon puberulum,Smilax anceps,Stillingia lineata,Syzygium commersonii,Syzygium coriaceum,Syzygium glomeratum,Syzygium mauritianum,Syzygium petrinese,Syzygium venosum,Tabernaemontana persicarifolia,Tambourissa peltata,Toddalia asiatica,Tristhema mauritiana,Trochetia blackburniana,Turraea rigida,Warneckea trinervis,Xylopia lamarckii,Xyris sp
Melanostoma bituberculatum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003522854,0,0,0,0,0,0,0,0,0,0,0,0.000289855,0,0,0,0,0.088,0,0,0,0,0,0,0,0,0,0,0.000637681,0.334318841,0,0,0,0.002975845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miridae sp 1,0,0,0,0,0,0,0,0,0,0,0,0.00057971,0.041254106,0,0,0,0,0,0,0,0,0,0,0,0.003150599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bakerella hoyifolia ssp bojeri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002625746,0,0,0,0,0,0
Mordellidae sp 1,0,0,0,0,0,0.001223832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022028986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mordellidae sp 2,0,0,0,0,0,0.000305958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Musca domestica,0,0,0,2.400518125,0.0016,0,0,0,0,0,0.016066253,0,0.020905797,0,0,0,0,0.237679677,0,0,0,0.002318841,0,0,0.017598344,0,0,0,0,0,0,0,0.076650564,0,0.057569082,0,0,0,0.001256039,0,0.039111111,0,0,0.018518519,0,0,0,0,0,0,0.000398551,0,1.868252345,0.000289855,0.001231884,0.007536232,0.012444444,0,1.037519668,0,0.339704954,0.001827792,0,0,0.000414079,0,0,0.022318841,0,0,0,0,0,0
Mythimna sp 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001587902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nacoleia sp1,0.019063248,0,3.964562251,1.720555225,0,0,0,0,0,0,0,0.00173913,0,0.041300103,0.014763286,0,0,0.033256662,0.036571427,0,0,0,0,0,0,0,0,0,0,0,0,0.023602485,0.51997089,0.159319469,0.038226769,0.002028985,0,0,0.000913483,0.068869565,0.042777778,0,0,0,0,0,0,0.055652174,0,0.001792333,0,0,0.650064412,0.007246377,0,0,0.005259552,0.000496894,0,0,0.055147751,0,0,0,0,0.187638433,0,0,0,0,0,0,0,0
Nacoleia sp2,0.004730435,0,0,0.385071083,0,0,0,0,0,0,0,0,0,0,0.003188406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01573499,0,0,0.002487144,0,0,0,0,0,0.014666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009706004,0,0,0,0,0,0,0,0,0,0,0,0,0
Nogodinidae sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.928663446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nyctemera insulare,0,0,0,0.235072464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018141517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ophyra capensis,0,0,0,0.197955759,0,0,0,0,0.002318841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005175983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058666666,0,0,0,0,0,0,0,0,0,0.00013285,0,0.417898551,0,0,0.006956522,0,0,0.299130435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orchisia costata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009070759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001352657,0,0,0,0,0,0
Ornidia obesa,0,0,0,0.174201068,0.006752632,0,0,0,0,0,0,0,0,0,0,0,0,0.004618981,0.00057971,0,0.004508857,0.001830664,0,0,0,0,0,0,0,0,0,0,0,0.004985507,0,0.000434783,0,0,0,0,0.011282051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00115942,0.006763285,0,0,0,0.048530021,0.000252048,0,0,0,0,0,0,0,0,0,0,0,0
Orthellia albigena,0,0,0,0,0,0,0,0,0.004057971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031574879,0,0,0,0,0.009565217,0,0,0,0,0,0,0,0,0,0,0,0,0.303926219,0,0,0.00115942,0.001623188,0,0.074782609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pachycerina crinicornis,0.00303233,0.036372269,0.057808696,0.523973115,0,0,0,0.004886128,0,0,0.024991948,0,0.033449275,0.003320158,0.009126295,0,0.019710145,0.521751254,0,0.130875362,0,0.002318841,0.004565217,0.003522854,0.025362319,0,0.047478261,0,0.005410628,0.001895206,0.007826517,0,0,0,0.202606334,0.000289855,0.126050724,0,0,0,0.172333333,0,0,0.019075932,0,0,0,0,0,0.00026501,0,0.012488614,0.772429478,0,0.022173914,0.016231884,0.002705314,0,2.461594202,0,0.029118012,0,0,0,0,0,0,0.154429441,0,0,0,0.023453416,0,0
Paleorhiza sp 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003478261,0,0,0,0,0,0,0,0,0,0
Panara naso,0,0.003333333,0,0.150446377,0,0,0,0,0,0,0.119896438,0,0,0,0,0,0,0,0,0,0,0.003864734,0,0.003271222,0.012077295,0,0,0,0,0,0,0.006884058,0.118260869,0,0,0,0,0,0,0,0,0.000144928,0.07254902,0,0,0,0,0,0,0.000289855,0,0,0.26352191,0.000869565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Papillio manlius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028743961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paragus borbonicus,0,0,0,0.307931181,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009545894,0,0.006415459,0,0,0.003423913,0.003816425,0,0,0.026688963,7.48E-05,0.005410628,0,0,0,0,0,0,0,0,0,0.008193237,0,0.012222222,0,0,0,0.021698873,0,0,0,0.09819085,9.94E-05,0.000664251,0,0.52005153,0,0,0,0,0.000545204,0.643664596,0,0.230565908,0.000322061,0,0.014032983,0,0,0,0,0,0,0,0,0,0.003652174
Pelecophora intemipta,0,0.002222222,0,0.35041858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.278599034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002678261,0,0,0,0,0,0
Peribaea sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074782609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phalanta phalantha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111439614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pheidole megacephala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.380488888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phelsuma cepediana,0,0,0,0,0,0,0,0.007980676,0,0,0,0,0,0,0,0,0,0,0.008811594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04465052,0,0,0.006666667,0,0,0,0,0.02753623,0.000269151,0.12057971,0,0,0,0,0,0,0.004223603,0,0,0,0,0.002125603,0,0,9.66E-05,0.044139569,0,0,0,0,0,0.001449275,0,0,0,0
Phorinia sp,0,0,0,0.238479311,0.00125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005478261,0,0.002787068,0,0,0,0.005410628,0,0,0,0,0,0,0,0,0,0,0,0.004888889,0,0,0,0,0,0,0,0,9.32E-05,0,0,0.594344606,0,0,0,0,0,0.280434783,0,0.162399096,0.00115942,0,0,0,0,0,0.008271003,0,0,0,0,0,0
Polistes hebraeus,0,0,0,0.833723671,0,0,0,0.005261984,0.002318841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004262575,0,0,0,0,0,0,0,0,0,0,0.000543478,0,0.007689685,0,0,0,0,0,0,0,0,0,0.004637681,0,0,0,0,0.111439614,0,0.003695652,0.003753623,0.009468599,0,0,0,0,0,0,0.04980646,0.001067049,0,0,0,0,0,0,0,0,0
Psilopa iceryae,0,0.007407407,0.057808696,0,0,0,0,0,0,0,0,0,0,0.003652174,0,0,0,0,0,0,0,0,0,0.003663768,0,0,0,0,0,0.00410628,0,0,0,0,0,0,0.060362319,0,0,0,0,0,0,0,0.00236715,0,0,0,0.034901961,0,0,0,0.092866345,0,0,0,0.001623188,0,0,0,0,0,0,0,0,0,0,0.035710146,0,0,0,0,0,0
Psyllidae sp 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010227743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Psyllidae sp 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00136715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pteromalidae sp1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124637681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pterophoridae sp 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111439614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pycnonotus jocosus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001014493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Remigia frugalis,0,0,0.103229814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sapromyza sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002487144,0,0,0,0,0,0,0,0,0.005072464,0,0,0,0,0,0,0,0,0.417898551,0,0,0.002705314,0,0,0.022434783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sarcophaga arno,0,0,0,0,0,0,0,0,0,0,0,0,0.005574879,0,0,0,0,0.009545894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002487144,0,0,0,0,0,0,0,0.018925831,0,0,0,0,0,0,0,0,0,0,0,0,0.003985507,0,0,0,0,0.013065775,0,0,0,0,0,0,0,0,0,0,0,0,0
Sarrothripinae sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005304348,0,0,0,0,0,0,0,0
Scatopsidae sp,0,0.004444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scirtidae sp 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001352657,0,0,0,0,0,0
Scirtidae sp 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009070759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scolia carniflex,0,0,0,0.098977879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scolia oryctophaga,0,0,0,0.072329989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scopariinae sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026532887,0,0,0.00057971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sepsis lateralis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001352657,0,0.299130435,0,0,0,0,0,0,0,0,0.004605302,0,0,0,0,0,0
Simuliumsp 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00013285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Simulium sp 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074782609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Siphona sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033904762,0,0,0,0,0,0,0,0,0,0.044869565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spilogona sp ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001275362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spodoptera littoralis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000231884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stomorhina lunata,0.003285024,0.008253968,0,8.086489063,0.014397076,0.002202898,0,0.005700483,0.005565217,0,0.069620428,0,0,0.00146087,0.00115942,0,0,0.667096442,0.00057971,0,0,0.022214399,0.005478261,0.005387894,0.061228626,0,0,0,0,0.006077295,0.000565717,0,0,0,0.112352563,0.000724638,0,0,0.007103115,0,0.200188508,0.00057971,0,0,0,0.011014492,0.000269151,0,0,0,0.00013285,0.00057971,8.10132789,0,0,0.038739699,0.030231884,0,0.252391304,0,0.040588744,0.001036658,0,0,0.00179434,0,0,0.086644485,0,0,0,0,0,0
Stomoxys calcitrans,0.003285024,0,0.040144928,0.777901939,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211787341,0,0,0,0,0,0,0.025953234,0,0.007304348,0,0,0,0,0,0,0,0.024672464,0,0,0,0,0,0.017111111,0,0,0,0,0,0,0,0,0,0,0,1.286198873,0,0,0.006183575,0.002705314,0,0.186956522,0,0,0,0,0,0,0,0,0.001352657,0,0,0,0,0,0
Stomoxys niger,0,0.000987654,0,0.880014864,0,0,0,0,0,0,0,0,0.033449275,0,0,0,0,0.032774152,0,0,0,0,0,0,0.012882448,0,0,0,0,0,0,0,0,0,0.206220703,0,0,0,0,0,0.01154321,0,0,0,0,0,0,0,0,0,0,0,0.111439614,0,0,0.008082126,0,0,0,0,0,0,0,0,0,0,0,0.000507246,0,0,0,0,0,0
Strictopterinae sp 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005304348,0,0,0,0,0,0,0,0
Syritta nigrofemorata,0,0,0,0.219400966,0,0,0,0,0,0,0.008997101,0,0.005574879,0,0,0,0,0.016563513,0,0,0,0.003864734,0,0,0.016798419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.453187762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003266172,0,0,0,0,0,0
Syritta sp.,0.006570048,0,0,0,0,0,0,0,0,0,0,0,0.005574879,0,0,0,0,0.019887279,0,0,0,0,0,0.002693947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000265701,0,0,0,0,0,0,0,0.056086957,0,0.064853755,0,0,0,0,0,0,0,0,0,0,0,0,0
Tarundia servillei,0,0,0,0,0,0,0,0,0,0,0.024991948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009070759,0,0.010652174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112173913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technomyrmex albipes,0,0.008666666,0.057808696,8.779404653,0,0.000786749,0.001656314,0.034148609,0.003246377,0.231627967,0,0,0.040882448,0.031043479,0.005913044,0,0.048296173,0.198304578,0.009275362,0,0.017713366,0.034782609,0,0,0.026455026,0.002608695,0.029217391,0,0.010048309,0,0.00136715,0.012238325,0.057487923,0,0,0.003483437,0,0.306404355,0,0.00573913,0.10729365,0.000772947,0.035748792,0,0.0047343,0,0,0,0.894019265,0.004650667,0,0,0.287396898,0,0.098550727,0,0.016231884,0,1.041614906,0.00057971,0.325151138,0,0,0.229565217,0,0.053043478,0,0.01752029,0.00173913,0,0.040857143,0.109449275,0.00057971,0
Tettigoniidae sp 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016296296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thelairodrino sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056086957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trichoplusia indicator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00173913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001420583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trirhithrum sp. near nigerrimum,0,0,0,0,0.00125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000531401,0,0,0,0,0,0,0,0.373913043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Villa unifasciata,0,0,0,1.196257649,0,0,0,0,0.003246377,0,0,0,0,0,0,0,0,0.00633577,0,0,0,0,0,0,0,0.002608695,0.008428094,0,0.032463768,0,0.000630992,0.008472687,0.149468599,0,0,0,0,0.012449966,0,0,0.003055556,0.000386473,0.024749164,0,0,0,0,0,0,0.000342305,0,0,1.063410691,0.003188406,0,0,0,0,0,0,0.149472463,0,0,0,0,0,0,0,0,0,0.008333333,0.025407867,0,0
Zaprionus tuberculatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001888198,0,0,0,0,0,0,0
Zaprionus vittiger,0,0,0,0,0,0,0,0,0,0,0,0.00057971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zizeeria knysa,0,0,0,0,0.001052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zosterops mauritianus,0,0,0,0.534674623,0,0,0,0.006529644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014614541,0,0,0,0,0,0,0,0,0,0,0,0,0.038594893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017129055,0.010184712,0.006316498,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003333333,0,0,0
