Period,Site,NetworkID,Insect code,Alstonia macrophylla,Aphloia theiformis,Campnosperma seychellarum,Canthium bibracteatum,Chrysobalanus icaco,Cinnamomum verum,Colea seychellarum,Craterispermum microdon,Deckenia nobilis,Dillenia ferruginea,Dillenia suffruticosa,Diospyros seychellarum,Dracaena reflexa,Erythroxylum sechellarum,Euphorbia pyrifolia,Excoecaria benthiamiana,Gastonia crassa,Glionnetia sericea,Ixora pudica,Medusagyne oppositifolia,Melastoma malabathricum,Memecylon eleagni,Mimusops sechellarum,Nepenthes pervillei,Nephrosperma vanhoutteanum,Northea hornei,Ochna kirkii,Paragenipa wrightii,Paraserianthes falcataria,Phoenicophorium borsigianum,Pittosporum senacia,Premna serratifolia,Psidium cattleianum,Psychotria pervillei,Roscheria melanochaetes,Soulamea terminaloides,Syzygium wrightii,Timonius sechellensis
Nov-07,Tro,Tro3,C9,,,,,,,,,,,,,,,,,,,,,,2,1,,20,,,,,,,,,,,,,
Nov-07,Tro,Tro3,HB,,,,3,8,7,,,,,,,,,,,,,,,,21,,6,27,,,,,,,,,,,,,
Nov-07,Tro,Tro3,Polistes,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov-07,Tro,Tro3,Sunbird,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov-07,Tro,Tro3,T18,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
Nov-07,Tro,Tro3,T26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Nov-07,Tro,Tro3,T28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
Nov-07,Tro,Tro3,Unknown_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Nov-07,Tro,Tro3,Xylocopa,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov-07,Tro,Tro3,No visitors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
Dec-07,Ber,Ber4,C10,,,,,,,,,,,,,,3,,,,,,,,,,,6,,,,,,,,,,,,,
Dec-07,Ber,Ber4,C12,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,
Dec-07,Ber,Ber4,C14,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,
Dec-07,Ber,Ber4,C16,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Dec-07,Ber,Ber4,C39,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Dec-07,Ber,Ber4,C4,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,
Dec-07,Ber,Ber4,C40,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Dec-07,Ber,Ber4,C44,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,
Dec-07,Ber,Ber4,C45,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,
Dec-07,Ber,Ber4,C9,,,,3,,,,,,,,,,8,,,,,,,,,,,26,,,6,,12,,,,2,,,,
Dec-07,Ber,Ber4,HB,,,,15,,,,,,,,,,16,,,,,,,,13,,,25,,,17,,2,,,,4,,,,
Dec-07,Ber,Ber4,Skink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
Dec-07,Ber,Ber4,Sunbird,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,3,,,,
Dec-07,Ber,Ber4,T5,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,1,,,,,,,,
Dec-07,Cas,Cas4,C10,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Dec-07,Cas,Cas4,C12,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,
Dec-07,Cas,Cas4,C14,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
Dec-07,Cas,Cas4,C4,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-07,Cas,Cas4,C44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
Dec-07,Cas,Cas4,C6,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-07,Cas,Cas4,C9,,,,7,,,,,,4,,,,,,,,,,,,,,,18,,,,,18,,,,13,,,,
Dec-07,Cas,Cas4,HB,,,,5,,,,,,2,,,,,,,,,,,,8,,,8,,,,,4,,,3,18,,,,
Dec-07,Cas,Cas4,Sunbird,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Dec-07,Cas,Cas4,T16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,
Dec-07,Cas,Cas4,T18,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-07,Cas,Cas4,T19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Dec-07,Cop,Cop4,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,
Dec-07,Cop,Cop4,C44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Dec-07,Cop,Cop4,C48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,
Dec-07,Cop,Cop4,C51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,
Dec-07,Cop,Cop4,C6,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
Dec-07,Cop,Cop4,C9,,,,,,,,6,,,,,,,,,3,,,,,4,,,15,,,1,,,,,,,,,,
Dec-07,Cop,Cop4,Hawkmoth,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,
Dec-07,Cop,Cop4,HB,,,,,,,,12,,,,,,6,,,1,,,,,,,,1,,,,,,,,,13,,,,
Dec-07,Cop,Cop4,J21,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Dec-07,Cop,Cop4,J27,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-07,Cop,Cop4,Phelsuma,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,1,,,
Dec-07,Cop,Cop4,Sunbird,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,2,,,,
Dec-07,Cop,Cop4,T16,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-07,Cop,Cop4,T30,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-07,Cop,Cop4,No visitors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Dec-07,Res,Res4,C10,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,
Dec-07,Res,Res4,C12,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,
Dec-07,Res,Res4,C16,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Dec-07,Res,Res4,C3,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,1,,,,,,
Dec-07,Res,Res4,C39,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,1,,,,,,
Dec-07,Res,Res4,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
Dec-07,Res,Res4,C45,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,
Dec-07,Res,Res4,C50,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Dec-07,Res,Res4,C6,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,14,,,,,
Dec-07,Res,Res4,C9,,,,17,,,,,,,,,,,,,,,,,,5,,,31,,,12,4,,,21,,,,,,
Dec-07,Res,Res4,D56,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Dec-07,Res,Res4,HB,,,,52,,,,,,,,,,,,,,,,,,2,,,16,,,3,10,,,,19,,,,,
Dec-07,Res,Res4,J20,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-07,Res,Res4,J21,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-07,Res,Res4,Phelsuma,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,
Dec-07,Res,Res4,Polistes,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Dec-07,Res,Res4,Sunbird,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Dec-07,Res,Res4,T16,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,18,,,,,
Dec-07,Res,Res4,T18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
Dec-07,Res,Res4,Xylocopa,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,1,,,,,
Dec-07,Tea,Tea4,C10,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,
Dec-07,Tea,Tea4,C12,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,
Dec-07,Tea,Tea4,C14,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-07,Tea,Tea4,C16,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Dec-07,Tea,Tea4,C3,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,
Dec-07,Tea,Tea4,C4,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,
Dec-07,Tea,Tea4,C48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
Dec-07,Tea,Tea4,C50,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,
Dec-07,Tea,Tea4,C6,,,,,,,,,,3,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,
Dec-07,Tea,Tea4,C9,,,,,,,,,,,,,,8,,,,,,,,,,,27,,,9,,,,,,,4,,,
Dec-07,Tea,Tea4,HB,,,,,,,,,,6,,,,4,,,,,,,,12,,,18,,,18,,,,,,,9,,,
Dec-07,Tea,Tea4,J20,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
Dec-07,Tea,Tea4,Phelsuma,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,
Dec-07,Tea,Tea4,Sunbird,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Dec-07,Tea,Tea4,T16,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Dec-07,Tea,Tea4,T18,,,,,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,,,,,
Dec-07,Tea,Tea4,T27,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
Dec-07,Tea,Tea4,T5,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Dec-07,Tea,Tea4,No visitors,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,
Dec-07,Tro,Tro4,C10,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Dec-07,Tro,Tro4,C12,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Dec-07,Tro,Tro4,C3,,,,1,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,
Dec-07,Tro,Tro4,C39,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
Dec-07,Tro,Tro4,C4,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,
Dec-07,Tro,Tro4,C9,,,,,,,,,,,,,,4,,,,,,,,,,,24,,,,,,,,,7,,,,
Dec-07,Tro,Tro4,D56,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
Dec-07,Tro,Tro4,HB,,,,6,6,,,,,,1,,,8,,,,,,,,6,,8,32,,,7,,,,,,3,,,,
Dec-07,Tro,Tro4,T19,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
Dec-07,Tro,Tro4,T5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Dec-07,Tro,Tro4,Xylocopa,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-07,Tro,Tro4,No visitors,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-08,Ber,Ber5,C10,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Jan-08,Ber,Ber5,C12,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,
Jan-08,Ber,Ber5,C14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
Jan-08,Ber,Ber5,C3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Jan-08,Ber,Ber5,C39,,,,,,,,,,,,2,,,,,,,,,,,,,4,,,,,,,,,,,,,
Jan-08,Ber,Ber5,C4,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Jan-08,Ber,Ber5,C41,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
Jan-08,Ber,Ber5,C45,,,,1,,,,,,,,,,,,,,,,,,,,,5,,,,,2,,,,1,,,,
Jan-08,Ber,Ber5,C52,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,
Jan-08,Ber,Ber5,C6,,,,,,,,,,,,,,,,,,,,5,,,,,2,,,,,,,,,,,,,
Jan-08,Ber,Ber5,C9,,,,1,,,,,4,,,,,7,,,,,,,,2,,,20,,,,,7,,,,,,,,
Jan-08,Ber,Ber5,HB,,,,1,,,,,40,,,6,,8,,,,,,36,,4,,,11,,,,,5,,,,20,,,,
Jan-08,Ber,Ber5,Phelsuma,,,,,,,,,4,,,,,,,,,,,,,,3,,2,,,,,2,,,,,,,,
Jan-08,Ber,Ber5,Skink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
Jan-08,Ber,Ber5,Sunbird,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,2,,,10,2
Jan-08,Ber,Ber5,T16,,,,,,,,,2,,,,,,,,,,,10,,,,,3,,,,,,,,,2,,,,
Jan-08,Ber,Ber5,T17,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Jan-08,Ber,Ber5,T18,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,
Jan-08,Ber,Ber5,T19,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Jan-08,Ber,Ber5,T31,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Jan-08,Ber,Ber5,T42,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
Jan-08,Ber,Ber5,T5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Jan-08,Cas,Cas5,C10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Jan-08,Cas,Cas5,C14,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
Jan-08,Cas,Cas5,C3,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,3,,,,,,,,
Jan-08,Cas,Cas5,C44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Jan-08,Cas,Cas5,C45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,1,,,,
Jan-08,Cas,Cas5,C46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Jan-08,Cas,Cas5,C50,,,,,,,,,,1,,,,8,,,,,,,,,,,1,,,2,,2,,,,,,,,
Jan-08,Cas,Cas5,C51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,
Jan-08,Cas,Cas5,C6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
Jan-08,Cas,Cas5,C62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,
Jan-08,Cas,Cas5,C9,,,,,,,,,,7,,,,10,,,,,,,,,,,32,,,5,,17,,,,7,,,,
Jan-08,Cas,Cas5,HB,,,,,,,,,,11,,,,3,,,,,,,,,,,7,,,3,,3,,,,5,,,,
Jan-08,Cas,Cas5,J26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,
Jan-08,Cas,Cas5,J27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,
Jan-08,Cas,Cas5,J9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,
Jan-08,Cas,Cas5,Phelsuma,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,
Jan-08,Cas,Cas5,Sunbird,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,2,,,,
Jan-08,Cas,Cas5,T16,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-08,Cas,Cas5,T5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Jan-08,Cas,Cas5,No visitors,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,
Jan-08,Cop,Cop5,C10,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Jan-08,Cop,Cop5,C3,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,2,,,,,,,,
Jan-08,Cop,Cop5,C45,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,4,,,,,,,,
Jan-08,Cop,Cop5,C50,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
Jan-08,Cop,Cop5,C9,,,,,,,,4,,,,,,11,,,,,,,,5,,,12,,,8,,33,,,,8,,,,
Jan-08,Cop,Cop5,HB,,,,,,,,4,,19,,,,11,,,,,,,,12,,,15,,,12,,20,,,,15,,,,
Jan-08,Cop,Cop5,J11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,
Jan-08,Cop,Cop5,J26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,
Jan-08,Cop,Cop5,J27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,
Jan-08,Cop,Cop5,J9,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,
Jan-08,Cop,Cop5,Phelsuma,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,1,
Jan-08,Cop,Cop5,Skink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Jan-08,Cop,Cop5,Sunbird,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,3,,,2,
Jan-08,Cop,Cop5,T16,,,,,,,,1,,9,,,,,,,,,,,,2,,,,,,,,6,,,,,,,,
Jan-08,Cop,Cop5,T20,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
Jan-08,Cop,Cop5,T42,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Jan-08,Cop,Cop5,T44,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Jan-08,Cop,Cop5,T5,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Jan-08,Res,Res5,C12,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,
Jan-08,Res,Res5,C14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Jan-08,Res,Res5,C16,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Jan-08,Res,Res5,C3,,,,,,,,,,,,,,2,,,,,,,,,,,10,,,,,,,,,,,,,
Jan-08,Res,Res5,C39,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,9,,,,,,
Jan-08,Res,Res5,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,
Jan-08,Res,Res5,C40,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
Jan-08,Res,Res5,C45,,,,,,,,,1,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,
Jan-08,Res,Res5,C6,,,,,,,,,4,,,,,,,,,,,,,,,,2,,,,,,,,5,,,,,
Jan-08,Res,Res5,C9,,,,,,,,,9,,,,,15,,,,,,,,2,,,23,,1,,,,,14,2,,,,,
Jan-08,Res,Res5,HB,,,,,,,,,16,,,,,2,,,,,,,,10,,,19,,,,,,,1,21,,,,,
Jan-08,Res,Res5,J11,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Jan-08,Res,Res5,Phelsuma,,,,,,,,,6,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Jan-08,Res,Res5,T16,1,,,,,,,,5,,,,,,,,,,,,,,,,7,,,,,,,,10,,,,,
Jan-08,Res,Res5,T19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Jan-08,Res,Res5,T42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,
Jan-08,Res,Res5,T43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Jan-08,Res,Res5,Xylocopa,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,5,,,,,
Jan-08,Tea,Tea5,C10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Jan-08,Tea,Tea5,C12,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,1,,,
Jan-08,Tea,Tea5,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,
Jan-08,Tea,Tea5,C35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
Jan-08,Tea,Tea5,C39,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Jan-08,Tea,Tea5,C44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,
Jan-08,Tea,Tea5,C45,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,3,,,
Jan-08,Tea,Tea5,C6,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Jan-08,Tea,Tea5,C9,,,,,,,,,,2,,,3,11,,,,,,,,,,,19,,,6,,10,,,,,1,,2,
Jan-08,Tea,Tea5,HB,,,,,11,,,,,17,,,,15,,,,,,,,,,,21,,,,,6,,,,,2,,8,
Jan-08,Tea,Tea5,Phelsuma,,,,,,,,,,,,,,,,,,,,,,,4,,2,3,,1,,2,,,,,,,,
Jan-08,Tea,Tea5,Sunbird,,,,,3,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,4,
Jan-08,Tea,Tea5,T16,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Jan-08,Tea,Tea5,T17,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Jan-08,Tea,Tea5,T27,,,,,,,,,,,,,3,,,,,,,,,,,,2,,,,,,,,,,,,,
Jan-08,Tea,Tea5,T42,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Jan-08,Tea,Tea5,T43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
Jan-08,Tea,Tea5,T5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Jan-08,Tea,Tea5,Xylocopa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,
Jan-08,Tro,Tro5,C10,,,,,,,,,,,,,,,,,,,,,,2,,,5,,,,,,,,,,5,,,
Jan-08,Tro,Tro5,C14,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-08,Tro,Tro5,C16,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Jan-08,Tro,Tro5,C3,,,,,,,,,,,,,,2,,,,,,,,,,,4,,,,,1,,,,,,,,
Jan-08,Tro,Tro5,C40,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Jan-08,Tro,Tro5,C44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
Jan-08,Tro,Tro5,C45,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,1,15,,,
Jan-08,Tro,Tro5,C51,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,15,,,
Jan-08,Tro,Tro5,C6,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-08,Tro,Tro5,C62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
Jan-08,Tro,Tro5,C9,,,,,,,,,,,,,,17,,,,,,,,1,,,10,,,,,27,,,,3,,,,
Jan-08,Tro,Tro5,HB,,,,,,,,,,15,4,,,10,,17,,,,,,11,,,24,,,,,13,,,,4,,,1,
Jan-08,Tro,Tro5,J11,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-08,Tro,Tro5,J15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,
Jan-08,Tro,Tro5,J27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,
Jan-08,Tro,Tro5,J29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,
Jan-08,Tro,Tro5,Phelsuma,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,3,,,,,,,,
Jan-08,Tro,Tro5,Polistes,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Jan-08,Tro,Tro5,Skink,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,3,
Jan-08,Tro,Tro5,Sunbird,,,,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,1,,,5,
Jan-08,Tro,Tro5,T16,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-08,Tro,Tro5,T5,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2,,,
Jan-08,Tro,Tro5,Xylocopa,,,,,,,,,,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-08,Tro,Tro5,No visitors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Feb-08,Ber,Ber6,C10,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Feb-08,Ber,Ber6,C12,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,
Feb-08,Ber,Ber6,C14,,,,,,,,,,1,,2,,,,,,,,,,,,,9,,,,,2,,,,,,,,
Feb-08,Ber,Ber6,C18,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Feb-08,Ber,Ber6,C3,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,
Feb-08,Ber,Ber6,C39,,,,10,,,,,,,,4,,1,,,,,,,,,,,3,,,,,,,2,,1,,,,
Feb-08,Ber,Ber6,C40,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Feb-08,Ber,Ber6,C44,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,5,,,,,,,,
Feb-08,Ber,Ber6,C45,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,
