Order_all,Family_all,Genus_all,Species_all,subspecies,species_geonet,sex_or_flower_type,breeding_system,autonomous_selfing_level (none/low/medium/high),compatibility,compatibility_genus,info_level,asexual_reproduction,asexual_reproduction_type,agamospermy/apomixis (yes/no/some_populations),flower_colour ,flower_morphology,flower_pollinator_morphology,flower_symmetry,corolla_diameter_mean_mm,corolla_diameter_min_mm,corolla_diameter_max_mm,corolla_length_mean_mm,corolla_length_min_mm,corolla_length_max_mm,tube_length_mm,life_form,lifespan,plant_height_min_m,plant_height_max_m,plant_height_mean_m,references,reference_journal,doi,doi,doi,doi,doi,type_of_proxy_seed _or_fruit,open_pollination_percentage,open_pollination_n,hand_poll_outcrossing_percentage,hand_poll_outcrossing_percentage_n,hand_poll_self_percentage,hand_poll_self_n,spontaneus_selfing_percentage,spontaneus_selfing_n,geitonogamy_percentage,geitonogamy_n,apomixis_percentage,apomixis_n,intramorph_percentage,intramorph_n,stamen_length_mm,stamen_length_min_mm,stamen_length_max_mm,style_length_mm,style_length_min_mm,style_length_max_mm,ovary_length_mm,ovary_min_mm,ovary_max_mm,stigma_length_mm,stigma_min_mm,stigma_max_mm,pistil_length_mm,pistil_min_mm,pistil_max_mm,inflorescence_form,inflorescence_arrangement,inflorescence_length_mm,inflorescence_width_mm,inflorescence_comment,pollen_anther_mean,pollen_anther_sd,pollen_anther_n,pollen_flower_mean,pollen_flower_sd,pollen_flower_n,pollen_ovule_ratio,ovules_mean,ovules_sd,ovules_n,stamen_mean,anthers_exerted_yes_or_no,anthers_exerted_mm,pistil_mean,stigma_mean,stigma_exerted_yes_or_no,stigma_exerted_mm,flowers_inflorescences_min,flowers_inflorescences_max,flowers_inflorescences_mean,inflorescences_plant_min,inflorescences_plant_max,inflorescences_plant_mean,flower_plant_min,flower_plant_max,flower_plant_mean,flower_lifespan_days,flowering_time_days,nectar_yes_or_no,nectar_ul_day_mean,nectar_ul_day_sd,nectar_ul_day_n,total_nectar_ul_mean,total_nectar_ul_sd,total_nectar_ul_n,sugar_nectar_mg_mean,sugar_nectar_mg_sd,sugar_nectar_mg_n,sugar_concentration_mean,sugar_concentration_sd,sugar_concentration_n,fruit_type,fruit_colour,fruit_length_mm,fruit_width_mm,pollen_polar_length_um_mean,pollen_polar_length_um_min,pollen_polar_length_um_max,pollen_equatorial_length_mean_um ,pollen_equatorial_length_min_um,pollen_equatorial_length_max_um,pollen_polar_equatorial,mean_pollen_tube_growth_um_min,chromosome number,ploidy,location,country,references,reference_journal,doi,doi,doi,doi,doi,
Asterales,Asteraceae,Pectis,Pectis sp,NA,Pectis sp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Vernonia,Vernonia sp,NA,Vernonia sp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosales,Rhamnaceae,Ziziphus,Ziziphus mistol,NA,Ziziphus oblongifolius,bisexual,protandrous,none,partially_self_incompatible,NA,flower,NA,NA,no,yellowish green,bowl,bowl,actinomorphic,5,4,6,1,NA,NA,NA,tree,perennial,4,15,9.5,"cerino et al., 2015",journal: flora,10.1016/j.flora.2014.12.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caryophyllales,Portulacaceae,Portulaca,Portulaca fluvialis,NA,Portulaca fluvialis,bisexual,hermaphrodite,NA,partially_self_incompatible,NA,flower,NA,NA,NA,purple,bowl,bowl,actinomorphic,30,NA,NA,5,NA,NA,NA,herb,annual,NA,0.3,0.15,"wickramasinghe, harrison & johnston 2009; coelho et al., 2010; NA",journal: australian journal of botany (p. grandiflora); journal: kew bulletin vol 65: 37-43; online: efloras.org,10.1071/BT09107,ÿhttps://doi.org/10.1007/s12225-010-9187-2ÿ,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malvales,Malvaceae,Waltheria,Waltheria indica,NA,Waltheria indica,bisexual,heterostylous,none,self_incompatible,NA,flower,NA,NA,NA,yellow,tube,tube,actinomorphic,4,NA,NA,4.3,NA,NA,4.3,shrub,perennial,0.5,2,1.75,"bahadur, sailu & swamy; saunders 2007",journal: journal of palynology; journal: bonplandia 16(1-2): 143-180.2007,NA,ISSN: 0524-0476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caryophyllales,Cactaceae,Cleistocactus,Cleistocactus baumannii,NA,Cleistocactus cf  baumannii,bisexual,hermaphrodite,none,self_incompatible,NA,flower,NA,NA,no,redish,tube,tube,actinomorphic,7.19,NA,NA,50.02,NA,NA,50.02,shrub,perennial,NA,1,0.5,"bianchi et al., 2000; gorostiague & ortega-baes 2016",journal: flora; journal: plant biology,10.1016/S0367-2530(17)30992-1,10.1111/plb.12297,,,,,,,,,,,,,,,,,,,31.54,27.27,35.81,35,NA,NA,8.39,NA,NA,2.67,NA,NA,41.28,,,,,,,,,,,,,,,915.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabales,Fabaceae,Aeschynomene,Aeschynomene mollicula,NA,Aeschynomene mollicula,bisexual,hermaphrodite,NA,self_compatible,NA,flower,yes,apomixis,yes,orange,papilionaceous,papilionaceous,zygomorphic,3,NA,NA,8,NA,NA,NA,shrub,perennial,NA,2,1,vanni 2016; NA,journal: boletin de la sociedad argentina de botanica 51(4):705-725; online: https://cropgenebank.sgrp.cgiar.org/images/file/forage_legumes/breeding%20systems%20table.pdf,10.31055/1851.2372.v51.n4.16359,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malvales,Malvaceae,Pavonia,Pavonia sp,NA,Pavonia sp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caryophyllales,Amaranthaceae,Gomphrena,Gomphrena celosioides,NA,Gomphrena celosioides,bisexual,hermaphrodite,NA,NA,NA,flower,NA,NA,NA,whitish pink,tube,tube,actinomorphic,2,NA,NA,5.5,5,6,5.5,herb,perennial,0.07,0.3,0.185,townsend 1988; NA,"journal: royal botanical gardens, kew; online:http://wssa.net",NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malvales,Malvaceae,Pavonia,Pavonia sidifolia,NA,Pavonia sidifolia,bisexual,hermaphrodite,NA,NA,NA,flower,NA,NA,NA,yellow and brown,bowl,bowl,actinomorphic,17.5,10,25,4,NA,NA,NA,shrub,perennial,NA,1.5,0.75,NA,online: http://sweetgum.nybg.org,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiales,Verbenaceae,Stachytarpheta,Stachytarpheta indica,NA,Stachytarpheta elatior,bisexual,hermaphrodite,NA,self_compatible,NA,flower,NA,NA,NA,purple,tube,tube,actinomorphic,8,NA,NA,9,7,11,9,herb,perennial,NA,2,1,NA; shivanna 2014,"online: https://keyserver.lucidcentral.org; journal: proceedings of the national academy of sciences, india section b: biological sciences. 84.",NA,10.1007/s40011-014-0307-x.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtales,Lythraceae,Cuphea,Cuphea thymoides,NA,Cuphea thymoides,bisexual,hermaphrodite,NA,NA,NA,flower,NA,NA,NA,pink,tube,tube,actinomorphic,1.25,1,1.5,7,5,9,7,herb,perennial,0.25,0.8,0.5,graham 2001,journal: systematic botany 42(4):1-61,https://doi.org/10.1600/036364417X696528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,24,28,26,24,28,1,,,,,,,,,,,,,
Caryophyllales,Talinaceae,Talinum,Talinum fruticosum,NA,Talinum triangulare,bisexual,hermaphrodite,NA,self_compatible,NA,flower,NA,NA,NA,pink,bowl,bowl,actinomorphic,20,NA,NA,7,NA,NA,NA,herb,perennial,0.5,1,0.75,nya & eka 2008; NA,journal: international journal of plant breeding and genetics; online: https://www.prota4u.org,http://dx.doi.org/10.3923/ijpbg.2008.19.27,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiales,Verbenaceae,Lippia,Lippia alba,NA,Lippia alba,bisexual,hermaphrodite,none,self_incompatible,NA,flower,NA,NA,NA,pink and yellow,tube,tube,zygomorphic,5,NA,NA,5,NA,NA,5,shrub,perennial,NA,2,1,"alves venancio et al., 2016; NA",journal: environmental entomology volume 45 issue 3; online: https://www.plantsforuse.com,https://doi.org/10.1093/ee/nvw041,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commelinales,Commelinaceae,Murdannia,Murdannia nudiflora,NA,Commelina nudiflora,bisexual,cleistogamous & chasmogamous,NA,self_compatible,NA,flower,yes,NA,NA,blue to purple,bowl,bowl,actinomorphic,9,8,10,1.5,NA,NA,NA,herb,annual,NA,0.3,0.15,keighery 1982; nandikar & gurav 2015,journal: flora; journal: phytodiversity vol. 2 (1): 56-112,10.1016/S0367-2530(17)31344-0,NA,,,,,,,,,,,,,,,,,,,,,,1.2,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malpighiales,Euphorbiaceae,Croton,Croton sp 2,NA,Croton sp 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabales,Fabaceae,Senegalia,Senegalia sp,NA,Senegalia sp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabales,Fabaceae,Arachis,Arachis microsperma,NA,Arachis microsperma,bisexual,hermaphrodite,NA,NA,NA,flower,NA,NA,NA,yellow,papilionaceous,papilionaceous,zygomorphic,16,NA,NA,61.5,58,65,NA,herb,perennial,NA,NA,NA,costa 2012,"thesis: universidade de brasilia, instituto de ciencias biologicas",http://repositorio.unb.br/handle/10482/13909,,,,,,,,,,,,,,,,,,,,8.3,8.2,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caryophyllales,Cactaceae,Opuntia,Opuntia elatior,NA,Opuntia bergeriana,bisexual,hermaphrodite,NA,NA,NA,flower,NA,NA,NA,red,bowl,bowl,actinomorphic,40,30,50,20,NA,NA,NA,shrub,perennial,NA,4,2,NA,online: http://plantnet.rbgsyd.nsw.gov.au,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caryophyllales,Cactaceae,Cereus,Cereus hildmannianus,NA,Cereus bicolor,bisexual,hermaphrodite,NA,NA,NA,flower,NA,NA,NA,white,bowl,bowl,actinomorphic,125,100,150,25,NA,NA,NA,tree,perennial,5,15,10,NA,online: http://www.llifle.com,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtales,Myrtaceae,Myrtaceae,Myrtaceae sp 1,NA,Myrtaceae sp 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caryophyllales,Cactaceae,Echinopsis,Echinopsis rhodotricha,NA,Echinopsis rhodotricha,bisexual,hermaphrodite,none,partially_self_incompatible,NA,flower,NA,NA,no,white,funnelform,funnelform,actinomorphic,112,NA,NA,167,NA,NA,131,columnar cactus,perennial,NA,0.4,0.2,"gomes & araujo 2015; NA; ferreira et al., 2017",journal: gaia scienta edicao special cactaceae. volume 9(2):1-8; online: http://www.llifle.com; plant biology,ISSN 1981-1268,NA,https://doi.org/10.1111/plb.12641,,,,,,,,,,,,,,,,,,,135.9,,,,,,,,,,,126,,,,,,,,,,,,,,198,2648,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caryophyllales,Cactaceae,Harrisia,Harrisia balansae,NA,Harrisia balansae,bisexual,hermaphrodite,none,self_incompatible,NA,flower,yes,bulbil,no,white,funnelform,funnelform,actinomorphic,120,NA,NA,175,NA,NA,89,columnar cactus,perennial,NA,3,2.2,"ferreira et al., 2017; walters et al., 2017",journal: plant biology; journal: abc taxa,https://doi.org/10.1111/plb.12641,NA,,,,,,,,,,,,,,,,,,,,138,,,,,,,,,,,138,,,,,,,,,,,,,,109,5022,642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiales,Plantaginaceae,Scoparia,Scoparia montevidensis,NA,Scoparia montevidensis,bisexual,hermaphrodite,NA,NA,NA,flower,NA,NA,NA,yellow,bowl,bowl,actinomorphic,4,3.5,4.5,2.25,2,2.5,NA,herb,annual,0.05,0.3,0.175,NA; NA,online: http://www.conabio.gob.mx; online: http://www.tropicos.org,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Isostigma,Isostigma hoffmannii,NA,Isostigma hoffmannii,bisexual,hermaphrodite,NA,NA,NA,capitulum,NA,NA,NA,dark purple,bowl,bowl,actinomorphic,23,NA,NA,10,NA,NA,NA,herb,perennial,0.07,0.6,0.34,peter 2004,journal: willdenowia 34(2),10.3372/wi34.34216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Isostigma,Isostigma hoffmannii,NA,Isostigma hoffmannii,bisexual,hermaphrodite,NA,NA,NA,floret,NA,NA,NA,dark purple,tube,tube,actinomorphic,1,NA,NA,3,NA,NA,NA,herb,perennial,0.07,0.6,0.34,peter 2004,journal: willdenowia 34(2),10.3372/wi34.34216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malpighiales,Euphorbiaceae,Croton,Croton sp 1,NA,Croton sp 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiales,Acanthaceae,Ruellia,Ruellia tweediana,NA,Ruellia tweediana,bisexual,cleistogamous & chasmogamous,NA,NA,NA,flower,yes,rhizomes and stem segments,NA,purple,campanulate,campanulate,zygomorphic,50,NA,NA,37.5,NA,NA,NA,herb,perennial,0.15,1.2,0.675,"huey, steck & fox 2009; wilson & mecca 003",journal: florida entomologist (90) 4; journal: journal of environmental horticulture,10.1653/0015-4040(2007)90[763:BNOMRD]2.0.CO;2,ISSN: 0738-2898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabales,Fabaceae,Mimosa,Mimosa hexandra,NA,Mimosa hexandra,bisexual,hermaphrodite,NA,NA,NA,flower,NA,NA,NA,white,tube,brush,actinomorphic,1,NA,NA,2,NA,NA,2,shrub,perennial,NA,4,2,"de souza-lima et al., 2017",journal: rodriguesia 68(1): 263-290,10.1590/2175-7860201768131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malpighiales,Malpighiaceae,NA,Malpighiaceae sp 1,NA,Malpighiaceae sp 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malvales,Malvaceae,Ayenia,Ayenia tomentosa,NA,Ayenia cf  tomentosa,bisexual,hermaphrodite,NA,NA,NA,flower,NA,NA,NA,dark purple,bowl,bowl,actinomorphic,NA,NA,NA,NA,NA,NA,NA,herb,perennial,0.5,0.6,0.55,ribeiro cruz 2007,thesis: sterculiaceae vent.  no estado de sao paulo,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malvales,Malvaceae,Melochia,Melochia pyramidata,NA,Melochia pyramidata,bisexual,hermaphrodite,high,self_compatible,NA,flower,NA,NA,NA,pink,tube,tube,actinomorphic,5.3,NA,NA,6.5,NA,NA,6.5,herb,perennial,0.3,0.9,0.6,ramirez & navarro 2010; NA,journal: plant systematics and evolution; online: https://portal.wiktrop.org,10.1007/s00606-010-0340-z,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1180.4,,,6020.1,,,608.1,9.9,,,5,,,,,,,3,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commelinales,Commelinaceae,Tradescanta,Tradescanta sp,NA,Tradescanta sp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiales,Bignoniaceae,Arrabidaea,Arrabidaea sp,NA,Arrabidaea sp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caryophyllales,Polygonaceae,Coccoloba,Coccoloba guaranitica,NA,Coccoloba guaranitica,NA,NA,NA,NA,NA,flower,NA,NA,NA,green,bowl,bowl,actinomorphic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,online: http://www.plantsystematics.org,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brassicales,Cleomaceae,Cleome,Cleome guianensis,NA,Cleome guianensis,bisexual,hermaphrodite,NA,NA,NA,flower,NA,NA,NA,yellow,bowl,bowl,zygomorphic,9,NA,NA,1,NA,NA,NA,herb,annual,0.1,0.4,0.25,NA; NA,online: http://swbiodiversity.org; online: https://www.plantes-botanique.org,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malvales,Malvaceae,Sida,Sida rhombifolia,NA,Sida rhombifolia,bisexual,hermaphrodite,high,self_compatible,NA,flower,NA,NA,NA,pale orange,bowl,bowl,actinomorphic,17.5,15,20,2,NA,NA,NA,shrub,perennial,0.6,2,1.3,ugborogho 1982; NA,journal: cytologia; online: https://keyserver.lucidcentral.org,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caryophyllales,Cactaceae,Gymnocalycium,Gymnocalycium sp,NA,Gymnocalycium sp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabales,Fabaceae,Neptunia,Neptunia plena,NA,Neptunia cf  plena,bisexual,hermaphrodite,NA,self_compatible,NA,flower,NA,NA,NA,yellow,campanulate,brush,actinomorphic,1,NA,NA,2.5,NA,NA,NA,herb,perennial,NA,2,1,winder 1966,journal: australian journal of botany,https://doi.org/10.1071/bt9660379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caryophyllales,Amaranthaceae,Alternanthera,Alternanthera sp,NA,Alternanthera sp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malpighiales,Passifloraceae,Piriqueta,Piriqueta sp,NA,Piriqueta sp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabales,Fabaceae,Camptosema,Camptosema paraguariense,NA,Camptosema paraguariense,bisexual,hermaphrodite,NA,NA,NA,flower,NA,NA,NA,pink,papilionaceous,papilionaceous,zygomorphic,5,NA,NA,11,NA,NA,NA,herb,perennial,NA,NA,NA,de matos alves 2008,master thesis: leguminosae: caesalpinioideae e papilionidae de um remanescente de chaco em porto murtinho - ms - brasil ,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gentianales,Rubiaceae,Staelia,Staelia thymoides,NA,Staelia thymoides,bisexual,hermaphrodite,NA,NA,NA,flower,NA,NA,NA,NA,tube,tube,actinomorphic,2,NA,NA,4.25,3.5,5,4.25,herb,perennial,0.1,0.3,0.2,salas & cabral 2011,journal: plant ecology and evolution,10.5091/plecevo.2011.620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caryophyllales,Cactaceae,Pereskia,Pereskia sacharosa,NA,Pereskia sacharosa,bisexual,hermaphrodite,NA,NA,NA,flower,NA,NA,NA,white or rose,bowl,bowl,actinomorphic,80,NA,NA,20,NA,NA,NA,shrub,perennial,6,8,7,britton & rose 1919,book: the cactaceae: escriptions and ilustrations of plants of the cactus family ,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gentianales,Rubiaceae,Coffea,Coffea macrocarpa,NA,Coffea macrocarpa,bisexual,hermaphrodite,none,self_incompatible,NA,flower,NA,NA,NA,white,tube,tube,actinomorphic,6.5,NA,NA,6.5,6,7,6.5,shrub,perennial,1.5,2,1.75,"nowak, haller & yoder 2014; leroy 1961",journal: journal of evolutionary biology; journal: journal de agriculture traditionnelle et de botanique appliquee,https://doi.org/10.1111/jeb.12396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
