sp,GenT,H,La,GrowSSD,RepSSD,S,R,Kingdom,Sessi
Cypripedium calceolus,264.9026078,1.859274116,4.458503022,0.050026369,0.099253782,18.2797161,Terrestrial,Plantae,Sessile
Cypripedium fasciculatum,18.85062993,0.609155894,6.636023436,0.061062251,0.028887625,0.32015396,Terrestrial,Plantae,Sessile
Cypripedium parviflorum,49.45199343,0.731928013,12.55078186,0.01727845,0.00968379,0.000131447,Terrestrial,Plantae,Sessile
Cyrtandra dentata,12.11116331,0.786020963,5.410429755,0.175364689,0.15034727,0.359270567,Terrestrial,Plantae,Sessile
Cystoseira zosteroides,16.30024307,1.407341247,2.333333333,0.121730349,0.036628237,1.374892413,Aquatic,Plantae,Sessile
Cytisus scoparius,12.49039025,1.084725778,2.434000143,0.004009656,0.107091914,5.931203415,Terrestrial,Plantae,Sessile
Dacrydium elatum,127.2973678,1.668894831,46.30344029,0.008322547,0.009893998,0.37496336,Terrestrial,Plantae,Sessile
Dactylorhiza lapponica,13.24910665,0.035371191,5.058134545,0.246339534,0.272154914,0.148437602,Terrestrial,Plantae,Sessile
Daemonorops poilanei,0.1837891,1.475132696,2.204819277,0.221420375,0.041861558,1.482824404,Terrestrial,Plantae,Sessile
Dama dama,7.013046355,NA,3,0.075193349,0.008078126,0.129737701,Terrestrial,Animalia,Mobile
Danthonia sericea,15.71290582,1.219100864,2.165501166,0.074207842,0.097172509,1.438505777,Terrestrial,Plantae,Sessile
Daphne rodriguezii,36.4049176,0.933297425,1,0.046240729,0.01799467,1.557880683,Terrestrial,Plantae,Sessile
Daphnia magna,5.31326334,NA,4,0.139490713,0.086436709,1.002903337,Aquatic,Animalia,Mobile
Daphnia pulex,5.219177223,NA,3,0.140125886,0.097773436,0.822199857,Aquatic,Animalia,Mobile
Dasypus novemcinctus,4.291809288,0.751014681,2,0.191895963,0.081569942,0.589461769,Terrestrial,Animalia,Mobile
Daucus carota,2.147111185,0.421075482,4.178649237,0.202050171,0.259008064,1.27140965,Terrestrial,Plantae,Sessile
Dendropanax trifidus,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Dendrophylax lindenii,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Diadema antillarum,NA,NA,NA,NA,NA,NA,Aquatic,Animalia,Sessile
Dicentra canadensis,22.12489257,0.716022046,10.6871524,0.263624573,0.005820977,0.162080884,Terrestrial,Plantae,Sessile
Dicerandra frutescens,14.60951805,0.740901477,2.882009948,0.005632344,0.126927336,7.131165852,Terrestrial,Plantae,Sessile
Dicorynia guianensis,177.2488649,0.67699897,59.82352941,0.017423646,0.000699845,3.186350876,Terrestrial,Plantae,Sessile
Dicymbe altsonii,224.6389118,2.698169885,210.6517692,0.017773485,0.008955941,0.679212201,Terrestrial,Plantae,Sessile
Didelphis aurita,3.817759625,0.469699448,2,0.25,0.183287508,0.079363991,Terrestrial,Animalia,Mobile
Digitalis purpurea,NA,NA,1,NA,NA,NA,Terrestrial,Plantae,Sessile
Dioon caputoi,166.5295776,1.907926897,48.01757899,0.072676986,0.015344742,1.594676993,Terrestrial,Plantae,Sessile
Dioon edule,NA,NA,1,NA,NA,NA,Terrestrial,Plantae,Sessile
Dioon merolae,92.18425564,1.371043909,41.78920122,0.019810073,0.009517496,1.480139883,Terrestrial,Plantae,Sessile
Dioon sonorense,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Dioscorea chouardii,229.0644609,0.552029244,8.694694195,0.035043912,0.024663647,0.13491543,Terrestrial,Plantae,Sessile
Pseudodiploria strigosa,NA,NA,NA,NA,NA,NA,Aquatic,Animalia,Sessile
Dipsacus fullonum,4.957940728,NA,3.649744943,0.124809413,0.059850025,0.647739609,Terrestrial,Plantae,Sessile
Disporum sessile,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Disporum smilacinum,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Draba asterophora,15.07076218,0.612324968,2,0.057852893,0.013834567,0.806692911,Terrestrial,Plantae,Sessile
Dracaena cinnabari,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Dracocephalum austriacum,18.74521943,0.9039797,4.191379915,0.15299148,0.042837689,0.726878419,Terrestrial,Plantae,Sessile
Drymarchon couperi,5.554760942,0.419241066,2,0.332871845,0.130165718,0.347844176,Terrestrial,Animalia,Mobile
Duguetia neglecta,177.7700878,2.29914288,101.2091565,0.008942923,0.005855302,1.729192206,Terrestrial,Plantae,Sessile
Dypsis decaryi,78.09117622,1.27829707,13.63464487,0.029788208,0.074016297,1.515906657,Terrestrial,Plantae,Sessile
Echeveria longissima,37.73260405,0.928258252,3.502439025,0.076775455,0.010479136,0.363157254,Terrestrial,Plantae,Sessile
Echinacea angustifolia,1.551519767,0.216525549,1,0.5,0.334354839,0.176604144,Terrestrial,Plantae,Sessile
Echinocactus platyacanthus,72.00549472,1.340647517,9.764111702,0.142839349,0.135525396,18.28291867,Terrestrial,Plantae,Sessile
Echinochloa crus-galli,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Echinospartum ibericum,11.79440371,0.104037422,3.621919245,0.005703871,0.449195792,10.33351965,Terrestrial,Plantae,Sessile
Echium vulgare,3.67159695,NA,3.718390805,0.242878594,0.2889297,0.087471655,Terrestrial,Plantae,Sessile
Ecklonia radiata,5.569242128,0.73355967,2.850134583,0.074376488,0.033761315,0.606492178,Aquatic,Chromalveolata,Sessile
Eidolon helvum,5.386639605,0.440445514,2,0.333333333,0.1667534,0.447970504,Terrestrial,Animalia,Mobile
Eisenia fetida,NA,NA,NA,NA,NA,NA,Terrestrial,Animalia,Sessile
Elephas maximus,NA,0.553137959,16,NA,NA,NA,Terrestrial,Animalia,Mobile
Elymus repens,5.260890026,0.029864992,2.075268817,0.190543786,0.475560822,0.011775422,Terrestrial,Plantae,Sessile
Emydura macquarii,54.53457748,0.084916164,5.095975232,0.327885869,0.288225584,0.075678433,Aquatic,Animalia,Mobile
Encephalartos cycadifolius,110.6415158,2.81106202,32.73450869,0.030915368,0.029399281,1.887127709,Terrestrial,Plantae,Sessile
Encephalartos villosus,82.98833309,1.159170181,22.30138707,0.039923453,0.014466151,0.689019122,Terrestrial,Plantae,Sessile
Enhydra lutris,8.986638235,NA,3,0.04987367,0.014891129,0.848567767,Aquatic,Animalia,Mobile
Entandrophragma cylindricum,105.5062737,0.431629239,36.86444245,0.039482991,0.002267546,2.966639521,Terrestrial,Plantae,Sessile
Eperua falcata,181.9039687,0.73225385,54.76344086,0.022576046,0.00084376,2.619149532,Terrestrial,Plantae,Sessile
Epidalea calamita,7.327125193,0.352436085,3,0.069914229,0.062195083,0.476421437,Terrestrial,Animalia,Mobile
Epipactis atrorubens,61.03620742,1.1607432,8.386101419,0.023444898,0.001535822,0.102933212,Terrestrial,Plantae,Sessile
Eremophila forrestii,108.3718136,0.713076901,11.9932524,0.055881149,0.005788654,0.474758554,Terrestrial,Plantae,Sessile
Eremophila maitlandii,43.76819806,0.623140354,9.404881471,0.067494828,0.00879419,1.067787111,Terrestrial,Plantae,Sessile
Eremospatha macrocarpa,67.1232157,1.077188545,10.82352712,0.094332868,0.017752613,0.190503441,Terrestrial,Plantae,Sessile
Erigeron kachinensis,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Erimyzon sucetta,3.244295071,NA,2,0.111111032,0.149806419,0.603117898,Aquatic,Animalia,Mobile
Eriogonum longifolium,31.54624784,0.406117017,14.70097265,0.043510792,0.013702855,0.41469067,Terrestrial,Plantae,Sessile
Eriophorum angustifolium,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Eritrichium caucasicum,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Erodium paularense,32.16791148,0.659699052,2,0.102043808,0.012986197,0.422839634,Terrestrial,Plantae,Sessile
Erophila verna,NA,0,1,0.049727426,0.258680801,0,Terrestrial,Plantae,Sessile
Erycina crista-galli,5.864125168,0.339521473,2,0.231345807,0.011980335,0.022572823,Terrestrial,Plantae,Sessile
Eryngium cuneifolium,8.387446304,0.810594968,3.063923633,0.001498143,0.067683,2.115185989,Terrestrial,Plantae,Sessile
Eryngium maritimum,0.573926677,0.58351456,2.989715643,0.266000631,0.214376035,0.561580534,Terrestrial,Plantae,Sessile
Erythrocebus patas,3.499143864,0.249166868,2,0.5,0.232686165,0.271671851,Terrestrial,Animalia,Mobile
Erythronium japonicum,32.23981386,1.096983819,12.99750779,0.061452681,0.052771393,2.089717359,Terrestrial,Plantae,Sessile
Escobaria robbinsorum,26.45137223,0.736314408,6.842364462,0.244969573,0.247956599,6.713704916,Terrestrial,Plantae,Sessile
Escontria chiotilla,61.79239135,1.258643781,52.36283342,0.055717532,0.047807475,2.923521655,Terrestrial,Plantae,Sessile
Esox lucius,6.19182271,0.001184543,4,0.0625,0.085851732,0.29032212,Aquatic,Animalia,Mobile
Etheostoma flabellare,2.07153051,0.110015826,2,0.333333333,2.117454649,1.057201705,Aquatic,Animalia,Mobile
Eulamprus tympanum,NA,NA,NA,NA,NA,NA,Terrestrial,Animalia,Mobile
Eumetopias jubatus,9.644827956,NA,4,0.031230588,0.00460973,0.265576894,Aquatic,Animalia,Mobile
Eupatorium perfoliatum,17.61367214,0.270895876,2.085782728,0.286406742,0.008098173,0.04373224,Terrestrial,Plantae,Sessile
Eupatorium resinosum,4.075053338,0.234637764,1,0.119292819,0.213119548,0.152682994,Terrestrial,Plantae,Sessile
Euphorbia fontqueriana,21.64095403,0.228121224,2.639344262,0.067859935,0.014196842,0.245247736,Terrestrial,Plantae,Sessile
Euterpe edulis,34.87249736,1.258097193,23.22077696,0.037573567,0.062573469,2.071909257,Terrestrial,Plantae,Sessile
Euterpe oleracea,14.4508968,1.180584663,9.275674038,0.768551948,6.59E-05,0.003545804,Terrestrial,Plantae,Sessile
Euterpe precatoria,55.74639514,1.258736828,16.98385631,0.084845546,0.017694016,0.129967386,Terrestrial,Plantae,Sessile
Fagus crenata,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Fagus grandifolia,28.22647083,1.092320725,12.72444056,0.026288691,0.008157068,0.65770433,Terrestrial,Plantae,Sessile
Falco concolor,NA,NA,NA,NA,NA,NA,Terrestrial,Animalia,Mobile
Falco naumanni,3.825392255,0.276383656,2,0.5,0.369433702,0.24811741,Terrestrial,Animalia,Mobile
Festuca eskia,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Forpus passerinus,38.3509271,0.583796461,2.449030302,0.509989961,0.094272042,0.218880336,Terrestrial,Animalia,Mobile
Fragaria vesca,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Fritillaria biflora,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Fritillaria camschatcensis,NA,NA,1,NA,NA,NA,Terrestrial,Plantae,Sessile
Fritillaria meleagris,15.55737823,0.749134611,5.167585632,0.039567697,0.019455693,0.969672293,Terrestrial,Plantae,Sessile
Fucus serratus,8.304546789,0.568640143,2,0.139073352,0.128796175,0.522058876,Aquatic,Chromalveolata,Sessile
Fucus vesiculosus,10.62699416,0.594679288,6.949094149,0.097695515,0.074087974,0.579933006,Aquatic,Chromalveolata,Sessile
Fulmarus glacialis,23.24799641,0.338095957,9,0.111111111,0.005039303,0.01366962,Terrestrial,Animalia,Mobile
Fumana procumbens,29.69587,0.668470821,4.491434837,0.061653897,0.024564034,0.804406845,Terrestrial,Plantae,Sessile
Gardenia actinocarpa,9.503023333,1.165468251,4.599047463,0.10291819,0.114222228,2.956842838,Terrestrial,Plantae,Sessile
Gavia immer,6.376591024,0.257551647,1,0.5,0.150438853,0.105563841,Terrestrial,Animalia,Mobile
Gelidium sesquipedale,NA,NA,NA,NA,NA,NA,Aquatic,Plantae,Sessile
Gentianella campestris,NA,NA,2,NA,NA,NA,Terrestrial,Plantae,Sessile
Genypterus blacodes,6.468133795,0.469917408,5,0.1293248,0.040732271,0.34810358,Aquatic,Animalia,Mobile
Geonoma deversa,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Geonoma macrostachys,102.1107653,1.510253913,23.10073796,0.011352703,0.011917409,0.721085488,Terrestrial,Plantae,Sessile
Geonoma orbignyana,52.17087244,1.216137384,34.36309952,0.019264168,0.012068255,0.758252733,Terrestrial,Plantae,Sessile
Geonoma pohliana,14.97075763,0.757483267,4.184713376,0.042329131,0.037474867,1.366030984,Terrestrial,Plantae,Sessile
Geonoma schottiana,68.12138236,1.88889866,31.3578271,0.002925262,0.050668249,2.83432872,Terrestrial,Plantae,Sessile
Geum reptans,7.721906051,0.619413334,4.380952381,0.092596099,0.017563857,0.654888136,Terrestrial,Plantae,Sessile
Geum rivale,22.84100546,0.888135881,8.376619268,0.107085255,0.048176948,0.150665366,Terrestrial,Plantae,Sessile
Gilia tenuiflora,NA,NA,1,NA,NA,NA,Terrestrial,Plantae,Sessile
Giraffa camelopardalis,15.90561199,0.419337229,3,0.333333333,0.071535381,0.115135354,Terrestrial,Animalia,Mobile
Globicephala macrorhynchus,NA,NA,NA,NA,NA,NA,Aquatic,Animalia,Mobile
Goniastrea favulus,NA,NA,NA,NA,NA,NA,Aquatic,Animalia,Sessile
Gorgonia ventalina,9.343416396,0.94140467,3.252245647,0.040485307,0.040093706,1.059296092,Aquatic,Animalia,Sessile
Gorilla beringei,38.8165862,0.157125585,10,0.090909091,0.004713187,0.025198222,Terrestrial,Animalia,Mobile
Gracilaria gracilis,27.15207923,-0.657230027,49.07658369,0.249959143,0.28138816,20.26482426,Aquatic,Plantae,Sessile
Grias peruviana,60.5782274,1.154821448,17.63113695,0.073787981,0.066461694,1.781200213,Terrestrial,Plantae,Sessile
Guaiacum sanctum,NA,NA,41.22039062,NA,NA,NA,Terrestrial,Plantae,Sessile
Guarianthe aurantiaca,41.45123823,0.709900445,8.833181202,0.101910331,0.008749187,0.207401744,Terrestrial,Plantae,Sessile
Guettarda viburnoides,40.95611822,0.427534109,5.080232626,0.13121868,0.124596891,0.069035756,Terrestrial,Plantae,Sessile
Gyps coprotheres,11.90403766,0.405813197,4,0.2,0.038113757,0.175729519,Terrestrial,Animalia,Mobile
Haliaeetus albicilla,NA,NA,5,NA,NA,NA,Terrestrial,Animalia,Mobile
Haliotis corrugata,NA,NA,NA,NA,NA,NA,Aquatic,Animalia,Sessile
Haliotis laevigata,8.114103462,1.27051622,3.511683498,0.138479302,0.219444713,1.780405732,Aquatic,Animalia,Sessile
Haliotis rufescens,9.183190615,0.737318019,4.199456753,0.070429069,0.071841794,0.779615443,Aquatic,Animalia,Sessile
Harrisia fragrans,47.18608369,1.176745932,3.293052052,0.06262749,0.005798137,0.146328601,Terrestrial,Plantae,Sessile
Helenium virginicum,NA,NA,3.337731531,NA,NA,NA,Terrestrial,Plantae,Sessile
Helianthemum juliae,8.831321905,0.667609743,3.066115702,0.080266266,0.098593516,0.855107083,Terrestrial,Plantae,Sessile
Helianthemum polygonoides,16.39557264,0.885613753,2.680672269,0.001407401,0.065108377,0.792377295,Terrestrial,Plantae,Sessile
Helianthemum teneriffae,3.770114856,0.637671863,2.377410468,0.16556866,0.14607302,0.671651896,Terrestrial,Plantae,Sessile
Helianthus divaricatus,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Heliconia acuminata,51.57937537,0.181664844,2.025641026,0.079661608,0.005539,0.355233173,Terrestrial,Plantae,Sessile
Helioseris cucullata,NA,NA,NA,NA,NA,NA,Aquatic,Animalia,Sessile
Heracleum mantegazzianum,7.872940765,0.574754192,4.970683226,0.094649152,0.058840007,0.131840496,Terrestrial,Plantae,Sessile
Herminium monorchis,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Heteropogon contortus,12.33733796,0.404994577,1,0.053591201,0.036277009,0.425139552,Terrestrial,Plantae,Sessile
Heteropsis flexuosa,NA,NA,1,NA,NA,NA,Terrestrial,Plantae,Sessile
Heteropsis macrophylla,NA,NA,1,NA,NA,NA,Terrestrial,Plantae,Sessile
Heteropsis oblongifolia,NA,NA,1,NA,NA,NA,Terrestrial,Plantae,Sessile
Hilaria mutica,6.782116712,0.725661484,2.233273725,0.10790279,0.113037793,0.682271465,Terrestrial,Plantae,Sessile
Himantoglossum hircinum,6.396211709,0.114296582,7.496506182,0.195797676,0.257542352,7.721967414,Terrestrial,Plantae,Sessile
Himantopus novaezelandiae,6.177005709,0.430153608,3,0.333333333,0.077158931,0.069404382,Terrestrial,Animalia,Mobile
Himatanthus drasticus,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Hippocamelus bisulcus,17.17981838,0.153389932,3,0.333333333,0.026606249,0.090272782,Terrestrial,Animalia,Mobile
Hirundo rustica,2.922127929,0.184170863,2,0.5,0.372184804,0.275924685,Terrestrial,Animalia,Mobile
Hoplocephalus bungaroides,9.978478538,0.780241028,6,0.166666667,0.062591054,0.064705863,Terrestrial,Animalia,Mobile
Horkelia congesta,14.02192488,0.396454488,4.831004112,0.073999406,0.018607461,0.530775966,Terrestrial,Plantae,Sessile
Hudsonia montana,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Hybognathus argyritis,2.416064757,NA,2,0.199998322,0.460705499,0.185166901,Aquatic,Animalia,Mobile
Hydrangea paniculata,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Hydrastis canadensis,11.40444669,0.379831525,4.431599596,0.192014645,0.075223907,2.958967083,Terrestrial,Plantae,Sessile
Hyparrhenia diplandra,11.67784431,1.460940572,2.278554381,0.05025612,0.2394362,1.336217677,Terrestrial,Plantae,Sessile
Hypericum cumulicola,NA,NA,1,NA,NA,NA,Terrestrial,Plantae,Sessile
Impatiens capensis,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Ipomoea leptophylla,6.643824137,0.8263864,4.333333333,0.054036626,0.164074052,0.494241313,Terrestrial,Plantae,Sessile
Ipomopsis aggregata,3.190099675,NA,2,0.142527624,0.061200678,0.065198663,Terrestrial,Plantae,Sessile
Ipomopsis tenuituba,7.64127034,NA,5,0.076895709,0.060972673,0.228928988,Terrestrial,Plantae,Sessile
Iriartea deltoidea,53.50101358,1.272753708,25.26604661,0.011493626,0.016592985,1.020643863,Terrestrial,Plantae,Sessile
Iris germanica,NA,NA,13.5,NA,NA,NA,Terrestrial,Plantae,Sessile
Isatis tinctoria,4,NA,3,0.199685024,0.235689057,6.526359753,Terrestrial,Plantae,Sessile
Isurus oxyrinchus,17.43471304,1.070473482,11.80813751,0.028159681,0.01822508,1.222764245,Aquatic,Animalia,Mobile
Jacobaea vulgaris,NA,0.225333265,8.868131868,0.109922426,0.128956491,4.256877071,Terrestrial,Plantae,Sessile
Jacquiniella leucomelana,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Jacquiniella teretifolia,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Juniperus procera,103.4131844,2.455290799,46.78754579,0.004232905,0.010136556,2.808820326,Terrestrial,Plantae,Sessile
Jurinea fontqueri,6.551552115,0.224226184,3.463054187,0.06085982,0.019676678,0.092004614,Terrestrial,Plantae,Sessile
Jynx torquilla,1.617739825,0.245542444,1,0.5,0.31151,0.200351557,Terrestrial,Animalia,Mobile
Kinosternon flavescens,12.90442676,0.561089827,4,0.25,0.16792936,0.109121466,Aquatic,Animalia,Mobile
Kinosternon integrum,15.79388064,0.680175657,5.947714315,0.094306051,0.067132351,0.080078027,Aquatic,Animalia,Mobile
Kinosternon subrubrum,10.6248809,NA,5,0.021276595,0.008117745,0.627635684,Aquatic,Animalia,Mobile
Knautia arvensis,8.441443853,0.033259256,2.540318377,0.124464667,0.000780628,0.000141607,Terrestrial,Plantae,Sessile
Kobus ellipsiprymnus,NA,NA,NA,NA,NA,NA,Terrestrial,Animalia,Mobile
Koeleria macrantha,4.315918406,0.100858265,8.469512195,0.44901601,0.007002193,0.069149457,Terrestrial,Plantae,Sessile
Kosteletzkya pentacarpos,24.8298615,0.967455144,2.261034048,0.157201623,0.169361845,0.910853152,Terrestrial,Plantae,Sessile
Kummerowia striata,1.367174931,0,1,0.197778375,0.238801655,0,Terrestrial,Plantae,Sessile
Laccosperma secundiflorum,48.2705257,0.477390003,35.6577074,0.011263656,0.006036175,0.134409491,Terrestrial,Plantae,Sessile
Lactuca serriola,NA,NA,2,NA,NA,NA,Terrestrial,Plantae,Sessile
Lactuca virosa,NA,NA,3,NA,NA,0,Terrestrial,Plantae,Sessile
Lagopus leucura,1.629983916,0.218382013,1,0.5,0.317293333,0.178168126,Terrestrial,Animalia,Mobile
Lagopus muta,2.441996388,0.271858663,1,0.5,0.251071437,0.230874817,Terrestrial,Animalia,Mobile
Lagothrix lagotricha,21.21483399,0.826414678,8.027663455,0.044404029,0.016937974,0.527867531,Terrestrial,Animalia,Mobile
Laminaria digitata,7.086968213,0.761018274,2.517450683,0.052684682,0.02513248,0.281712035,Aquatic,Chromalveolata,Sessile
Lantana camara,8.581006391,0.544470784,2.111111111,0.026628176,0.760319152,11.01515695,Terrestrial,Plantae,Sessile
Larus heermanni,9.633179183,NA,5,0.035714217,0.00825342,0.410498362,Terrestrial,Animalia,Mobile
Laserpitium longiradium,18.022359,0.25389278,5.687709995,0.073027904,0.018972231,0.059785537,Terrestrial,Plantae,Sessile
Lathyrus vernus,207.3732698,0.524436734,8.603042918,0.040776598,0.028943215,0.309046214,Terrestrial,Plantae,Sessile
Lechea deckertii,NA,NA,3.127150194,NA,NA,NA,Terrestrial,Plantae,Sessile
Leontopodium nivale,1.150519717,NA,2,0.442885018,0.064968292,0,Terrestrial,Plantae,Sessile
Lepanthes acuminata,8.328533567,0.690165943,2.743527433,0.174134789,0.110657193,0.763666445,Terrestrial,Plantae,Sessile
Lepanthes eltoroensis,377.6350303,2.099972171,28.81252681,0.089933159,0.001503086,0.036348513,Terrestrial,Plantae,Sessile
Lepanthes rubripetala,35.439117,0.745659456,8.299437238,0.121457072,0.016542562,0.615028935,Terrestrial,Plantae,Sessile
Lepanthes rupestris,38.85543219,0.690389824,5.767193019,0.102548786,0.033282546,1.07277875,Terrestrial,Plantae,Sessile
Lepetodrilus fucensis,7.625584151,1.029444497,5.744840116,0.063264593,0.150004056,0.695651119,Aquatic,Animalia,Sessile
Lepidium campestre,NA,NA,1,NA,NA,NA,Terrestrial,Plantae,Sessile
Lepidium davisii,68.45958583,0.519312359,3.174779828,0.290097617,0.003168818,0.011994837,Terrestrial,Plantae,Sessile
Leptogorgia virgulata,42.37740145,1.344761173,8.152004435,0.086719059,0.021169608,1.073313464,Aquatic,Animalia,Sessile
Leptonychotes weddellii,NA,NA,NA,NA,NA,NA,Aquatic,Animalia,Mobile
Lepus europaeus,3.350753644,0.116396619,2,0.16150658,0.1132482,0.437484182,Terrestrial,Animalia,Mobile
Lespedeza juncea,0.004590214,0.722350458,1,0.164555857,4.102893182,4.889044841,Terrestrial,Plantae,Sessile
Lespedeza virginica,0.262074294,1.0813684,1,0.163653764,0.296345772,5.163918563,Terrestrial,Plantae,Sessile
Liatris scariosa,4.442193896,0.579463175,4.63601134,0.118120849,0.129584709,0.505369883,Terrestrial,Plantae,Sessile
Ligularia sibirica,NA,-1.463259899,6.253451099,0.033631211,0.178419955,0,Terrestrial,Plantae,Sessile
Limonium carolinianum,17.53128403,0.468259889,3.766784452,0.140928754,0.137225779,2.950390065,Terrestrial,Plantae,Sessile
Limonium delicatulum,NA,NA,3,NA,NA,NA,Terrestrial,Plantae,Sessile
Limonium erectum,6.174350667,0.631124376,2.581777918,0.088435911,0.08093499,0.583399762,Terrestrial,Plantae,Sessile
Limonium geronense,10.70833789,0.616422393,3.88731253,0.09415546,0.03979432,0.407545522,Terrestrial,Plantae,Sessile
Limonium malacitanum,13.10780305,0.789173938,3.001328186,0.105579486,0.02702106,0.161398354,Terrestrial,Plantae,Sessile
Lindera benzoin,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Lindera umbellata,136.5784477,1.388063067,10.5502162,0.078828061,0.003786116,0.076409984,Terrestrial,Plantae,Sessile
Linnaea borealis,4.142536875,0.528466524,2.336499511,0.165358024,0.093195268,0.617611383,Terrestrial,Plantae,Sessile
Linum catharticum,NA,NA,2,NA,NA,NA,Terrestrial,Plantae,Sessile
Linum flavum,4.745373486,0.554308898,3.091145218,0.251191466,0.816122529,2.202244691,Terrestrial,Plantae,Sessile
Linum tenuifolium,4.427491886,0.587095638,3.104614857,0.215607766,0.257552045,0.50151304,Terrestrial,Plantae,Sessile
Lithospermum ruderale,22.52326727,1.071771538,4.677854146,0.136752844,0.071386262,0.171798667,Terrestrial,Plantae,Sessile
Lobelia boykinii,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Lomatium bradshawii,7.547563876,0.688463275,2.701677193,0.127792603,0.057036294,0.464493399,Terrestrial,Plantae,Sessile
Lomatium cookii,9.249650791,0.835061485,5.964035431,0.09445886,0.046063948,0.889736726,Terrestrial,Plantae,Sessile
Lonicera maackii,5.965080397,0.479802696,8.148175726,0.019633771,0.301940545,6.778995895,Terrestrial,Plantae,Sessile
Lontra canadensis,5.75615556,0.442831869,2,0.333333333,0.112919833,0.385373581,Aquatic,Animalia,Mobile
Lophophora diffusa,24.79958436,1.067018353,5.744889916,0.142588748,0.126746674,12.27645192,Terrestrial,Plantae,Sessile
Lotus arinagensis,3.490786905,0.170119761,2,0.249543806,0.208547194,0.278464329,Terrestrial,Plantae,Sessile
Lupinus arboreus,6.259994003,0.672058862,1,0.000453193,0.08406901,5.198206354,Terrestrial,Plantae,Sessile
Lupinus lepidus,2.070963124,0.436585062,1,0.245670128,0.496662435,3.739513561,Terrestrial,Plantae,Sessile
Lupinus tidestromii,28.52966945,0.585553705,2,0.158531263,0.047784676,0.312719363,Terrestrial,Plantae,Sessile
Lutra lutra,NA,NA,NA,NA,NA,NA,Aquatic,Animalia,Mobile
Lycalopex culpaeus,4.116532601,0.362482904,2,0.333333333,0.184398541,0.371281365,Terrestrial,Animalia,Mobile
Lycaste aromatica,NA,NA,NA,NA,NA,NA,Terrestrial,Plantae,Sessile
Macaca mulatta,9.884201037,0.450170084,3,0.166666667,0.02926756,0.375316558,Terrestrial,Animalia,Mobile
Maccullochella peelii,11.21750364,1.02571008,5,0.1,0.0652862,0.251033639,Aquatic,Animalia,Mobile
Macquaria ambigua,6.01936257,0.588344636,3,0.25,0.177579972,0.210558227,Aquatic,Animalia,Mobile
Macrocystis pyrifera,NA,NA,NA,NA,NA,NA,Aquatic,Chromalveolata,Sessile
Macropus eugenii,5.165612776,0.265557288,1,0.5,0.145241467,0.235113596,Terrestrial,Animalia,Mobile
Magnolia fordiana,116.6040918,1.105988364,33.68622385,0.020308756,0.010572624,0.008228963,Terrestrial,Plantae,Sessile
Magnolia salicifolia,641.6683754,1.649891136,20.05028356,0.069636826,0.000200248,0.017781478,Terrestrial,Plantae,Sessile
Malacothrix indecora,NA,NA,1,NA,NA,NA,Terrestrial,Plantae,Sessile
Mammillaria crucigera,67.78686747,0.056501273,2,0.124531831,0.080037109,0.055730877,Terrestrial,Plantae,Sessile
Mammillaria dixanthocentron,NA,0.555773921,5.333333333,NA,NA,NA,Terrestrial,Plantae,Sessile
Mammillaria hernandezii,31.4986713,1.445742119,3.890334186,0.009895012,0.037982331,0.504211295,Terrestrial,Plantae,Sessile
Mammillaria huitzilopochtli,8.074623537,1.209015881,3.750087504,0.138887707,0.140431357,0.854306411,Terrestrial,Plantae,Sessile
Mammillaria magnimamma,17.09103989,1.198062148,2,0.130443131,0.132003236,1.593252199,Terrestrial,Plantae,Sessile
Mammillaria mystax,13.31721141,0.622673883,7.31738119,0.072834685,0.043684597,1.226080422,Terrestrial,Plantae,Sessile
